SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5929028,"    Sunshine Coast F, RDA",963,100,512,5,40,0,38,0,0,0,0,0,0,0,286,0,0,0,153,0,16,4,0,0,0,129,100,0,116,0,59,225,0,76,46,0,0,0,0,0,20,0,0,150,12,0,15,0,0,100,37,0,0,50,65,36,30,870,6,0,92,30,0,0,60,0,68,0,350,0,0,50,483,48,27,4,135,125,247,58,33,0,161,50,26,0,0,0,102,105,352,9,81,0,212,10,345,100,0,117,0,28,290,298,0,0,0,"1,800",90,86,0,0,111,70,0,0,0,139,0,800,0,0,333,0,0,0,5,30,0,631,0,0,8,138,20,284,0,175,0,280,0,77,43,0,0,0,"1,268",0,0,0,0,0,60,"2,267",0,20,0,20,291,0,"1,530","1,812",0,7,20,0,0,110,520,121,225,163,157,777,385,115,752,219,207,115,0,170,862,405,302,240,162,50,50,10,306,40,280,0,157,0,55,0,173,70,673,403,771,184,684,150,66,491,"2,391",133,15,44,406,305,145,315,"1,228",391,375,190,"3,480",379,681,608,397,110,379,139,210,80,562,"1,192",90,328,398,"1,500",651,210,213,654,207,772,703,"1,823",554,"1,335","2,127",937,"3,838",459,"1,784",95,200,440,921,835,"1,675","1,041",477,430,281,"2,670",485,151,141
Development Region, Thompson/Okanagan DR,797,"2,964","2,166","25,841","1,003","1,222","1,356","2,468","4,717","1,517","3,103","2,050",848,"1,399","1,283",310,967,"3,855","1,818","6,370","4,224","1,313","2,153","5,944","2,999","1,196","6,754","2,752","3,763","5,856","3,683","3,166","1,870","7,417","7,696","1,175","2,783","5,853","4,679","2,143","1,732","29,373","1,014","1,626","7,596","4,623","4,958","2,675","3,903","5,257",347,"1,179","2,943","11,690","2,511","14,610","11,455","2,621","6,060","2,410","2,909","3,160","2,186","5,111","2,102","4,386","2,711","5,380",853,967,"1,136","3,092",957,"7,457","5,576","1,286","6,079","4,914","3,579","2,002",869,"1,708","3,349","4,142","1,006","9,018","2,104","3,511","1,094","4,360","1,402","1,726","5,163","3,809","7,747","1,915",461,"1,195","20,270","1,999","2,775","2,445","3,536","13,245","8,236","2,227","3,216","6,268","2,759","3,209","4,946","4,144","5,235","3,479","5,359","4,267","2,324","5,936","2,868","2,816",994,"1,024","6,041","3,806","4,785","1,767","1,010","3,176","3,610","3,120","2,551","4,954","6,051","1,185","2,507","5,160","6,957","2,612","2,304","5,307","3,681","10,827","1,431","8,567","7,104","5,348","6,807","4,537","4,764","4,359","8,303","4,805","28,070","4,947","8,131","2,862",647,"1,764","5,350","3,566","6,761","4,491","6,548","3,757","5,332","1,992","4,464","2,377","6,573","1,944","3,290","7,311","35,195","3,459","7,595","4,009","5,439","3,383","1,348",819,"10,305","1,313","18,808","7,823","23,380","9,227","6,198","4,467","6,436","7,835","4,335","5,165","13,124","7,424","2,102","29,182","10,912","12,355","7,562","16,125","6,302","5,708","26,984","11,922","11,968","4,079","4,202","16,672","13,520","8,646","12,776","2,498","5,504","3,433","8,520","7,659","23,207","1,537","2,766","10,079","12,777","8,199","8,402","14,609","5,734","4,494","5,744","1,228","4,112","5,858","19,312","7,812","12,053","23,070","18,695","19,517","4,459","13,460","7,512",43,"6,684","8,963","17,625","2,143","10,956","22,162","13,344","5,857","86,198","9,174","10,848","2,983","11,756","12,283","2,528","4,856","12,817","3,305","4,197","6,917","7,721","19,722","32,550","9,184","8,462"
5935,  Central Okanagan RD,274,88,928,459,48,2,36,664,41,912,256,760,517,"1,354",478,171,390,"1,943",831,666,"1,447",382,"1,075",399,341,428,"5,074","1,617","3,143","2,416","1,396","1,418",124,"1,722","1,705",141,197,"4,743","2,517",285,537,"3,157",559,484,167,740,"2,978",479,"1,890","2,402",80,556,577,"9,107",745,706,682,627,"1,528","1,044","2,092","1,591",400,463,243,149,684,100,612,315,143,502,251,98,138,283,"3,472","2,573","1,896",364,73,531,"1,656",933,338,581,181,313,451,645,136,98,570,495,"2,400",279,46,585,"7,960",105,159,"1,113",417,615,"7,248",235,320,"1,850",936,"1,058","4,260","1,458","1,597","1,437","1,158","2,555",454,683,882,"2,048",643,415,"4,148",350,"3,747",87,345,"1,635","1,479",526,708,"1,900",845,223,"1,744","2,000",93,"1,830","1,049","1,154",115,"1,325",80,85,180,262,"1,707",486,"3,241",540,"2,545","2,304",921,891,870,"1,182",315,615,"3,008",645,"3,977","1,134","5,496",795,"2,992",170,"4,087",703,"4,519","1,694",248,"7,128","1,954",108,"4,622","1,302","1,115",530,245,610,"4,903",173,"2,091",759,"1,668","1,697","3,927",603,"3,585","1,000",313,"1,190","6,787","1,494","1,451","20,614","5,729","10,186","2,963","13,661","3,531",863,307,"3,497","9,354","1,637","1,775","12,745","12,565","4,200","5,292",388,"2,159","1,425","1,553","1,140","20,307",985,"1,430","6,720",708,"1,950","6,750",450,364,"3,562","1,160",300,395,405,"8,435","4,295","2,475","12,459","13,214","1,741","1,729","3,697","7,268",10,"4,085","8,094",146,867,376,"17,484","3,855",230,"84,960",485,352,117,"5,908","8,898","1,077",794,788,"3,006","2,591","2,245","5,219",80,"29,222","8,050","3,372"
5935000,"    Central Okanagan, RDR",150,0,98,115,16,0,0,0,0,0,24,0,0,0,77,73,0,228,0,175,141,0,987,80,39,0,59,257,47,36,793,40,35,184,40,39,4,"3,419",0,19,0,147,340,164,25,0,33,313,"1,301",5,0,200,13,849,505,250,0,243,0,0,0,54,125,25,10,0,0,30,360,23,15,0,50,0,0,0,0,242,17,114,35,280,13,6,130,0,0,115,0,6,0,0,0,187,40,0,0,263,0,23,0,18,16,615,0,0,0,0,0,0,20,0,800,204,178,0,0,130,0,0,0,0,0,5,0,25,0,10,110,99,5,470,25,0,275,0,53,0,931,14,0,0,0,0,180,0,9,40,0,0,32,0,0,315,385,500,0,0,0,50,"3,581",7,0,100,0,0,"2,600",0,"2,165",82,0,5,0,0,430,0,15,100,0,565,0,130,23,0,147,275,380,0,0,0,27,200,0,0,75,38,"3,424",205,500,0,"2,339",34,123,180,200,0,25,0,8,0,"1,574",0,0,0,42,0,25,0,0,0,0,0,175,0,0,95,15,150,0,0,933,0,0,25,0,0,174,202,0,0,0,0,0,347,0,12,0,200,0,52,0,0,0,0,250,185,450,160,200,723,0,80,0,0,0
5935010,"    Kelowna, C",124,88,830,344,32,2,36,664,41,912,232,760,517,"1,354",401,98,390,"1,715",831,491,"1,306",382,88,319,302,328,"5,010","1,240","3,096","2,380",603,"1,282",57,"1,392","1,620",7,160,"1,296","2,517",260,508,"2,997",219,320,109,669,"2,918",166,549,"2,397",0,356,525,"8,198",240,456,617,384,"1,524","1,028","1,992","1,537",275,438,233,115,684,70,136,258,29,76,201,98,89,166,"1,972",157,311,133,38,68,"1,416",904,104,581,167,133,83,617,25,38,320,300,"2,336",46,46,322,30,74,101,"1,055",286,0,"7,158",130,90,"1,850",67,698,"4,240",679,789,"1,215",980,"2,205",231,513,368,48,463,415,"4,148",345,"3,747",40,245,90,"1,169",300,303,"1,415",270,104,297,761,40,"1,830",110,"1,140",25,325,80,45,0,112,602,446,"1,860",120,"2,513","2,304",650,515,400,570,65,615,"3,008",447,391,347,"5,420",485,"2,922",123,747,457,"2,260",925,223,"7,095",310,105,"2,060","1,302","1,070",250,245,45,"4,805",43,"2,068",684,"1,365","1,362","2,745",447,"3,585",785,150,990,"5,537","1,494","1,292","18,472","1,984",460,"1,446","13,471","1,175",411,10,"3,136",190,"1,387","1,100","7,785","10,654","1,586","3,718",288,"1,954","1,325","1,411",340,"20,275",910,300,462,686,"1,200","6,575",150,214,"1,385",867,150,370,405,"7,483","4,295","1,655","12,434","8,715","1,741","1,525","3,495","7,268",10,"4,085","8,089",137,520,260,"17,447","3,665",30,"84,560",433,340,102,"5,500","8,898",827,309,175,"2,718","2,391",632,"2,946",0,"11,860",0,"3,372"
5935016,"    Lake Country, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,120,0,0,0,96,32,146,45,95,33,28,0,6,29,13,0,0,33,71,27,0,0,0,80,0,39,60,0,0,65,0,4,16,100,0,0,0,0,34,0,0,116,34,99,426,0,0,49,117,0,"2,079",68,117,0,0,227,23,104,0,5,65,367,22,111,60,0,8,24,116,0,0,0,8,0,0,95,0,75,0,150,0,10,0,0,29,8,18,0,0,223,0,173,0,0,0,0,0,0,0,100,"1,535",200,120,0,15,550,119,"1,172","1,239",0,0,8,0,0,"1,000",0,0,0,0,"1,054",0,480,75,0,0,196,38,85,112,250,0,0,148,0,618,76,0,70,0,551,246,54,0,25,28,"1,644",3,"2,132",0,30,0,0,0,98,0,0,50,0,0,0,156,0,200,41,0,"1,250",0,0,500,321,"6,501",838,0,15,189,132,176,"8,916",0,650,0,"1,903",559,0,0,100,0,20,200,0,0,30,"1,037",0,0,0,0,0,25,278,0,25,0,20,0,550,0,0,0,30,0,0,0,0,0,0,0,96,25,0,0,0,0,0,0,210,0,0,300,6,0,0,850,0,0,"4,180",0,0
5935018,"    Peachland, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,60,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,80,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5935029,"    West Kelowna, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,"1,500",0,0,150,0,0,0,0,9,0,0,0,0,0,250,0,0,117,0,0,"7,930",0,58,40,20,0,0,60,80,0,859,360,0,750,0,0,0,350,0,40,341,"2,000",180,0,0,0,0,22,0,0,0,7,400,0,0,0,0,0,0,0,0,0,90,0,0,40,0,150,42,0,901,45,0,0,75,23,0,0,0,0,0,0,2,162,0,210,0,47,0,0,40,687,0,0,0,0,0,0,0,180,0,0,0,0,0,25,56,0,802,0,0,15,95,0,0,0,84,"1,604",0,"3,020",4,190,2,229,42,5,48,250,0,"4,960",0,"2,055",0,100,75,100,0,600,7,75,"1,100","5,221",22,750,0,300,150,"1,927",0,0,0,0,0,0,270,0,"4,499",0,0,0,0,0,0,5,9,0,0,0,190,0,400,0,12,15,198,0,0,0,157,128,0,40,"2,273",0,"13,182","8,050",0
5939,  Columbia-Shuswap RD,15,22,258,9,0,46,46,701,702,40,0,251,1,10,0,30,150,"1,022",72,"3,700",58,0,417,30,2,0,10,36,50,170,400,165,932,55,33,25,12,113,0,73,0,49,0,117,400,80,0,"1,004",2,8,0,408,20,858,262,66,"6,249",145,"1,533","1,042",10,303,0,0,125,135,"1,385",130,175,0,157,0,19,0,303,168,20,14,0,0,33,208,5,0,35,23,0,4,0,"1,281",512,466,101,89,0,0,0,0,0,510,0,392,0,10,85,0,3,20,785,20,0,766,249,"1,002",0,2,3,5,24,24,0,48,22,19,215,34,515,320,50,20,1,0,100,0,0,0,"4,565",0,91,0,390,"5,000",14,"3,500",65,115,4,0,12,0,"2,275",1,0,"2,620",444,0,0,269,130,781,300,31,0,181,135,432,20,500,15,0,135,15,0,15,130,35,0,530,180,62,0,0,532,50,37,"1,900",330,40,380,153,1,0,"3,011",50,30,"6,851",500,635,447,0,304,"1,396",0,0,0,105,0,336,50,500,836,300,325,0,288,498,0,150,21,0,0,24,120,35,230,100,154,0,0,0,0,10,"2,400",30,990,53,40,195,0,0,492,0,70,35,20,"3,254",0,764,120,"1,391",5,0,0,"2,635",11,"1,126",8,0,0,0,133,0,150,24,0
5939000,"    Columbia-Shuswap, RDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,40,0,1,0,0,11,0,30,"6,195",0,0,0,0,78,"1,396",0,0,0,0,0,86,0,0,693,0,0,0,4,0,0,0,0,0,0,24,120,0,0,50,154,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,35,20,300,0,17,0,190,0,0,0,100,0,"1,097",0,0,0,0,0,0,150,0,0
5939007,"    Golden, T",0,2,0,1,0,10,0,325,150,0,0,0,1,0,0,5,0,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,80,10,98,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,75,0,0,0,0,0,0,0,377,0,0,55,0,3,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,"2,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,250,348,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,110,0,40,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,"2,500",11,0,0,0,0,0,0,0,0,24,0
5939019,"    Revelstoke, C",0,0,0,0,0,20,46,0,0,0,0,0,0,0,0,0,0,"1,004",0,0,57,0,400,0,0,0,0,0,50,0,0,20,0,15,33,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,408,0,58,10,21,65,20,0,"1,037",10,0,0,0,0,135,"1,300",0,0,0,1,0,0,0,254,85,0,0,0,0,14,208,0,0,15,6,0,0,0,"1,281",504,1,0,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,150,5,0,15,249,0,0,0,0,0,24,24,0,0,22,11,50,26,0,160,0,0,0,0,0,0,0,0,88,0,90,0,390,0,0,"3,500",0,0,0,0,0,0,"2,200",0,0,67,100,0,0,262,0,781,0,0,0,55,135,75,0,0,0,0,0,0,0,0,120,0,0,0,0,62,0,0,0,0,0,0,85,0,380,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,250,0,0,0,70,0,0,0,0,0,0,0,35,225,0,0,0,0,0,0,0,"2,300",0,880,0,0,0,0,0,0,0,0,0,0,0,0,97,120,0,0,0,0,0,0,29,4,0,0,0,83,0,0,0,0
5939032,"    Salmon Arm, DM",15,20,258,0,0,16,0,376,552,40,0,251,0,10,0,25,150,0,50,"3,700",0,0,5,30,2,0,10,36,0,170,400,125,628,40,0,25,12,113,0,23,0,49,0,117,400,80,0,59,2,8,0,0,20,800,252,45,"6,184",125,"1,533",0,0,303,0,0,125,0,5,120,77,0,156,0,4,0,9,0,20,14,0,0,19,0,5,0,20,17,0,4,0,0,8,35,1,14,0,0,0,0,0,500,0,5,0,10,0,0,0,20,635,15,0,751,0,2,0,2,3,5,0,0,0,48,0,8,165,8,0,0,50,20,1,0,100,0,0,0,"4,477",0,1,0,0,0,14,0,65,0,4,0,12,0,35,1,0,4,344,0,0,7,80,0,300,0,0,26,0,15,20,500,15,0,135,15,0,15,0,0,0,230,180,0,0,0,532,50,37,"1,900",245,0,0,72,1,0,"3,000",0,0,656,500,475,0,0,226,0,0,0,0,105,0,0,0,500,18,0,325,0,0,0,0,150,21,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,50,0,0,0,0,492,0,70,0,0,"2,689",0,650,0,851,5,0,0,35,0,0,0,0,0,0,50,0,0,0,0
5939045,"    Sicamous, DM",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000",0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,50,0,0,31,0,100,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,447,0,0,0,0,0,0,0,0,0,50,0,125,0,0,0,34,80,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,100,0,0,3,0,165,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
5937,  North Okanagan RD,140,42,390,70,950,885,526,685,"2,000",0,"2,434",6,70,0,549,109,182,279,565,821,752,424,201,"1,326","2,355",450,"1,555",12,416,"1,166",640,969,468,"4,080",301,970,40,396,733,269,973,"22,262",170,932,939,"1,529",423,20,245,788,33,0,270,"1,175","1,053",15,856,"1,805","1,213",62,65,"1,176",392,110,370,"1,929",282,"1,390",0,360,647,29,196,518,"4,983",63,145,978,983,112,551,408,716,434,593,71,576,468,233,221,141,590,"1,361",500,274,20,50,350,"9,816",507,387,246,546,473,479,698,"1,551",768,256,0,283,647,735,341,970,573,"1,074","1,373",927,207,90,502,205,"2,903",541,150,101,75,75,72,415,0,75,208,79,301,757,360,578,263,788,"1,117",430,869,0,"3,910",285,266,923,"3,315",170,429,"21,057",234,"5,977",50,208,250,"1,227","1,448","1,130",348,252,270,294,779,190,391,256,0,195,0,238,258,"2,507","1,078","2,987",686,431,70,"2,000",825,"14,089","2,379","4,847",140,"1,139","1,590","1,736",487,"1,453",415,"2,110","1,500",120,993,346,256,"1,546",0,"1,475","2,314","12,457",243,910,"1,026",558,545,735,"1,073",263,226,"1,569",936,925,"1,067",0,0,208,"1,060",945,392,867,162,"1,000",78,"3,574",110,"3,190",0,416,"1,150","1,126","2,602",301,413,95,95,150,22,5,44,12,7,"4,565",682,"8,676",751,220,174,329,544,110,0,0,975,388,120,"1,186",112,"1,666","1,695",891,750,434
5937028,"    Armstrong, C",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,215,0,0,0,0,0,0,0,11,0,0,0,0,50,50,0,0,0,400,0,0,0,0,13,0,0,0,0,0,0,0,0,30,0,118,0,0,0,0,0,54,0,0,0,70,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200",0,0,35,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,280",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,90,15,26,0,0
5937010,"    Coldstream, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,14,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,60,0,0,0,0,0,150,52,0,0,0,0,0,70,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,"3,889",0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,"1,273",0,0,100,0,0,"2,000",0,"13,425",0,5,0,0,0,0,0,0,0,30,0,0,50,0,125,8,0,0,0,0,0,0,0,0,0,0,580,0,8,125,0,0,70,0,0,0,0,900,133,0,0,0,0,150,0,0,0,0,0,60,25,0,0,0,35,0,0,0,0,0,0,0,0,"7,500",0,0,0,0,30,0,0,0,0,20,0,0,0,138,0,0,150,0
5937033,"    Enderby, C",0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,140",0,0,0,0,0,0,108,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,30,0,0,0,40,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5937005,"    Lumby, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,180,0,159,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,249,342,0,0,0,0,0,0,0,0,0,0,9,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0
