SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5935000,"    Central Okanagan, RDR",43,2,63,910,200,43,209,5,81,167,60,171,234,10,370,938,16,107,219,"1,170",96,135,"1,440",0,50,780,"4,797","28,558","2,804",657,"3,239","6,654",295,109,"2,512","1,056",979,"4,708",315,"2,929","18,592",361,"2,332","2,370",79,"6,461","1,923",900,967,65,815,823,"2,398",940,"3,434",250,82,990,"1,186",700,290,679,"5,719",555,974,271,35,"2,865",150,130,282,0,0,0,140,0,0,2,0,0,239,0,2,150,0,211,0,66,0,0,1,1,390,222,235,615,0,40,200,100,230,150,124,8,0,0,356,6,0,0,0,328,0,210,55,0,0,313,355,0,0,482,454,17,10,0,700,0,0,0,0,113,0,200,200,167,250,250,735,5,0,200,"1,730",60,325,"1,113","1,185",395,0,0,0,442,0,410,265,425,256,415,253,150,635,5,255,520,857,170,"1,012",610,950,"1,094","1,130","1,287",769,350,280,300,940,695,930,"1,589",450,964,350,635,"3,415","1,291",0,0,398,0,0,300,80,286,0,15,100,"11,196",326,0,0,931,40,180,0,399,0,0,290,0,"1,000",0,445,0,0,0,"1,397",0,0,0,430,0,"1,004",115,205,0,450,375,700,0,0,0,0,470,820,350,0,0,350,815,0,0,30,0,800,61,0,0,0,0,0,30,0,0,400,900,400,0,0,0,0,400,0,0,118
5935010,"    Kelowna, C","2,331",848,"5,153","2,272","16,284","2,810","15,097","2,880","3,646",656,"3,233",639,935,"1,107","2,254","3,558","2,677","2,486","3,108","12,252","3,993","8,793","2,342","1,228","1,090","1,373","5,714","3,790","3,071","16,176","1,202","20,343","7,169","1,696","9,850","34,636","1,294","1,152","1,418","11,697","3,201","5,442","9,704","4,595","1,610","4,259","1,251","3,442","3,547","3,509","44,780","3,673","15,123","5,405","3,524","35,956","12,624","3,239","11,678","7,163",995,"6,018","3,127","11,178","4,347","3,245","5,992","12,714","1,856","5,126","1,403","3,000","25,299","14,262","2,787","2,935","1,708","3,884","14,769","19,926","6,535","2,177","3,152","6,197","4,959","6,105","3,330","5,304","3,772","4,973","8,746","19,298","4,389","8,204","1,843","1,720","4,374","1,827","2,347","2,903","6,944","19,702","3,798","1,010","4,026","2,368","6,710","3,947",571,"5,099","16,776","5,246","5,922","6,263","1,575","1,805","1,736","6,502","1,077","3,244","2,155","9,145","6,533","3,602","4,154","7,181","3,715","1,082","5,499","10,046","6,561","4,900","2,255","3,576","2,211","3,659","3,388","4,311","4,729","5,147","4,974","3,203","3,710","3,961","2,193","3,307","32,794","3,516","3,515","26,224","23,391",755,"4,423","4,792","7,042","3,365","22,965","9,654","3,522","6,200","3,908","3,551","5,008","12,642","8,722","6,291","2,828","3,437","2,910","5,320","9,941","6,160","10,836","8,340","9,699","11,628","8,344","12,193","8,450","4,084","7,805","6,216","15,675","3,508","22,768","11,387","7,812","9,246","9,286","10,605","26,752","2,545","13,995","11,476","68,737","10,077","15,039","8,508","6,949","23,857","18,469","5,659","6,890","23,254","17,953","11,567","11,215","12,565","3,618","2,391","3,691","7,363","8,497","7,676","3,153","11,381","13,747","60,272","5,030","10,276","24,058","25,765","8,514","6,757","3,223","10,929","4,925","12,343","9,492","4,832","3,663","26,143","45,499","10,338","7,377","17,288","60,565","3,740","23,314","8,476","6,854","7,674","23,489","4,379","8,810","55,938","12,769","194,639","13,903","32,714","6,803","1,515","12,316","15,047","5,678","15,994","18,686","18,448","17,617","12,292","4,162","14,997","1,527","1,462","6,248"
5935016,"    Lake Country, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,7,35,8,705,0,8,8,0,0,8,24,0,0,263,60,0,0,913,0,20,"1,006",0,0,"1,000",0,0,113,"2,157","1,173","5,721",0,"1,126",28,"1,151",143,0,325,25,108,"1,186",60,0,40,56,6,48,"3,801",0,6,0,0,630,0,5,479,11,0,25,99,0,0,20,0,50,0,112,0,69,90,0,115,4,736,0,0,80,475,16,0,8,30,16,8,96,0,0,50,0,0,0,48,0,350,0,3,0,0,58,0,260,7,"1,665",0,0,0,70,"3,006",0,185,580,0,0,310,"1,445",150,8,726,148,457,808,136,7,400,22,350,360,99,422,1,16,"2,344",190,142,994,605,48,820,300,350,0,5,35,110,"1,300","1,368",200,258,100,100,200,35,80,"1,175",803,14,215,80,100,0,160,798,38,50,21,315,445,0,130,0,125,0,40,0,0,0,0,2,120,0,135,"6,000",100,0,830,13,2,20,15,313,0,100,0,0,0,4,70,160,50,54,0,16,16,0,210,2,"2,531",410,538,152,240,0,0,0,0,30,200,0,80,80,0,16,0,0,278,0,260,0,28,0,0,10,0,"2,056","8,036","5,100",250
5935018,"    Peachland, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,120,68,0,2,0,0,0,0,0,7,0,100,0,0,75,0,0,0,0,0,0,0,0,50,0,0,0,0,120,0,0,0,0,0,0,0,223,192,106,0,0,0,0,40,0,0,0,100,0,0,2,75,0,0,46,0,40,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,25,0,0,58,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,3,0,0,107,0,0,12,0,0,0,0,0,0,0,0,0,0,71,0,35,0,20,0,0,0,0,0,0,5,0,0,0,0,20,0,0,170,0,0,23,0,0,0,0,405,0,0,0,0,145,0,0,47,0,90,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,1,144,0,500,0,0,0,0,0,0,0,0,0,0,50,"1,000",12,0,0,229,0,220,0,1,0,0,0,124,0,103,0,0,187,12,0,0,0,0,70,0,0,3,52,35,0,0,40,0,0,1
5935029,"    West Kelowna, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,5,15,7,40,99,2,60,0,50,"2,571",0,0,"2,591",38,"1,802","1,548",12,113,95,93,59,16,725,987,477,131,0,"2,600",96,160,45,50,258,160,197,93,50,105,858,40,344,33,141,168,30,263,0,"1,226",72,3,10,0,420,391,300,"4,285",25,396,204,"1,030","3,005",92,"1,246",567,161,173,161,"1,116","6,040",850,100,62,108,863,138,218,"1,855",118,350,0,50,7,133,280,519,251,"1,159","3,227","2,911",217,161,306,202,14,640,376,107,"2,911","3,115",589,25,0,639,57,5,128,85,234,185,135,"1,267",0,"4,025",805,17,70,0,"3,362",0,457,290,800,228,217,85,80,"9,420",335,30,265,30,48,20,35,30,"3,926",9,115,2,"1,028",12,3,"7,846","2,392",258,10,410,0,30,"17,381",9,830,0,"2,905",209,309,53,390,72,237,5,45,350,5,324,641,65,25,450,"5,267",73,127,"1,430",518,129,14,100,122,212,8,0,400,440,0,21,"1,096",40,72,0,569
5939,  Columbia-Shuswap RD,4,104,892,474,871,958,450,39,"1,801",243,695,94,52,"5,028","1,818",599,156,506,"1,877",601,"3,854","1,947",226,204,674,874,317,976,"1,846","5,411",91,572,708,399,252,57,33,802,"1,224",168,"3,673","1,246",219,509,60,"1,015","3,921",467,256,443,"2,382",429,83,122,"1,993","6,757",335,"10,169","5,664",207,212,178,"3,105",192,722,523,"10,387",828,"1,581","2,939","1,205",251,526,915,121,857,119,74,544,"1,277","5,936",68,113,44,540,"6,955",266,"1,085",270,122,85,"1,444",112,162,"1,095","5,341",5,884,"1,169","1,533",74,94,"1,139","5,020","3,487",422,500,95,799,271,66,315,"2,164",389,"5,319","9,178",17,"1,010",64,10,184,110,"10,101",867,442,"2,030","1,608","1,364","1,764",833,69,97,130,"1,526",996,"1,590",730,"2,301",397,257,300,566,495,870,521,500,288,"1,719",202,372,113,"4,518",974,577,185,466,91,476,81,"1,649",446,95,641,"1,265",289,588,226,127,102,"3,804",36,171,39,55,"2,603",91,442,"1,525","1,351",97,199,26,246,82,"3,110",989,956,"1,411","11,632","1,106",317,191,908,130,"1,490","22,731","1,621",564,"9,060","1,084","3,312","5,705","1,050",139,576,263,482,0,813,525,"1,728","2,358",963,"7,161","2,062","2,797",614,35,246,230,"1,978","2,300","2,066","1,190","1,672",378,630,839,93,480,"3,598",275,"1,796",439,671,"13,346",898,"1,930","2,007","1,042",708,345,"2,281","6,478","4,246","2,260","12,584","2,466","3,259","1,424","3,205",875,"10,236","4,100","4,937",870,"5,596",258,"2,293","1,149",301,"2,647",246,189,150
5939000,"    Columbia-Shuswap, RDR",0,40,0,80,70,488,0,0,10,72,0,0,0,0,48,120,0,0,38,0,0,65,0,1,0,0,0,130,0,56,0,0,0,0,0,0,0,160,190,0,90,25,0,369,0,0,59,0,19,15,365,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"9,975",200,0,80,0,0,350,0,0,0,0,23,0,0,0,0,59,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,400,0,0,0,75,25,5,0,0,0,0,10,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,694,0,0,0,0,0,0,0,0,0,0,"2,955",249,"1,500",0,469,0,0,25,0,0,30,0,0,0,210,175,0,0,40,0,0,0,255,0,0,1,0,0,0,220,73,180,0,180,400,0,0,573,0,"1,761",920,190,0,0,"1,500",242,0,0,0,0,0,0,0,0,0,0,0,0,"2,075",0,0,700,0,0,30,0,0
5939007,"    Golden, T",4,0,266,130,53,101,89,39,"1,059",0,327,14,31,32,451,45,85,47,"1,236",357,"3,276",164,3,15,512,470,15,542,155,0,2,73,311,3,113,1,1,47,31,164,9,6,6,1,6,877,2,225,6,3,5,281,18,7,12,400,24,52,4,75,9,6,0,30,68,73,155,491,375,30,60,6,50,829,100,135,5,3,29,663,103,12,39,0,0,0,0,72,2,0,14,52,64,0,2,10,5,3,0,10,5,0,435,"4,557",57,62,18,0,0,7,0,129,21,10,221,"4,577",4,74,12,0,0,0,35,29,41,80,82,994,"1,225",5,6,35,25,532,4,0,382,631,77,100,50,3,260,790,500,1,137,102,150,95,102,0,88,0,0,0,1,14,0,0,75,0,2,70,28,140,0,25,4,105,35,0,8,17,19,0,106,0,504,0,199,21,1,0,71,0,0,137,236,116,116,116,50,30,129,62,25,3,"1,091",200,257,165,242,84,25,35,0,0,68,152,220,0,0,"2,155","2,000","2,788",10,5,207,24,39,425,989,0,0,0,0,50,20,200,190,35,0,0,159,"2,445",60,91,334,70,7,70,270,400,131,483,12,"1,400","2,820",288,26,0,0,0,"4,027",20,63,0,5,410,1,432,60,34,93
5939019,"    Revelstoke, C",0,0,261,258,554,0,0,0,57,15,0,0,20,"4,960",17,255,42,40,0,144,507,100,175,8,33,0,225,62,1,"2,943",41,484,57,0,0,50,0,586,15,0,10,16,0,5,47,1,983,94,220,0,967,123,10,0,"1,803","5,724",38,"9,928","2,554",0,185,15,61,69,530,90,20,56,736,128,215,230,81,10,0,0,45,40,5,180,108,38,5,44,7,"6,825",90,0,43,120,10,630,0,100,79,"1,201",0,0,0,139,69,16,146,207,37,46,109,0,0,15,46,36,123,23,35,15,0,810,0,5,0,110,5,0,159,"1,640",630,0,101,47,16,2,25,105,250,32,0,"1,000",1,3,250,0,0,80,19,415,33,"1,500",0,270,0,5,637,46,155,340,15,51,74,470,280,92,634,270,41,434,125,49,0,"3,000",0,80,5,1,"2,000",90,195,0,320,0,0,0,0,7,0,0,245,80,"1,075",90,30,0,0,0,0,"22,545","1,000",441,"4,525",45,0,"5,488",277,55,0,0,5,0,200,351,0,350,0,0,22,0,0,0,30,180,200,"1,695",0,962,"1,450",201,0,75,0,100,0,60,173,14,365,"7,560",0,50,600,650,0,75,400,"5,547","1,510",0,555,0,0,"1,056","2,360",525,"2,887",580,910,765,"1,056",38,"2,258",38,0,785,0,0,30
5939032,"    Salmon Arm, DM",0,54,317,0,189,369,361,0,568,156,368,60,1,36,"1,302",156,29,104,513,100,61,"1,532",48,15,129,404,77,194,"1,679","2,412",48,15,340,95,139,6,32,9,988,0,425,"1,151",213,133,7,135,"1,008",49,11,425,"1,045",25,15,115,178,633,173,189,"3,106",132,18,157,"2,144",42,84,360,237,81,470,"2,701",930,15,45,76,21,722,69,8,510,50,"5,725",18,10,0,533,130,176,13,215,2,41,762,48,62,"1,014","4,130",0,881,"1,166",484,0,78,558,256,"3,113",292,373,95,799,249,20,50,"1,570",246,"5,063","4,586",13,126,52,5,184,0,"10,061",838,30,310,896,370,438,781,47,60,80,889,442,"1,558",328,93,319,154,0,163,235,0,2,9,93,112,52,7,11,"4,513",239,61,30,126,75,41,7,"1,179",91,3,5,925,220,14,101,53,91,699,1,91,26,26,584,1,141,"1,525",527,97,0,5,95,50,69,9,695,240,"10,321",100,171,75,658,100,"1,361",24,96,120,74,590,70,2,62,0,551,203,132,0,10,22,8,"2,008",403,"4,271",40,9,564,30,9,26,"1,484",180,"1,077",227,162,4,630,494,0,0,"2,508",0,244,400,147,"2,769",798,0,154,132,101,182,111,289,5,162,"12,017",646,39,80,819,350,4,"3,520",0,50,"2,402",20,30,1,300,"1,430",156,155,27
5939045,"    Sicamous, DM",0,10,48,6,5,0,0,0,107,0,0,20,0,0,0,23,0,315,90,0,10,86,0,165,0,0,0,48,11,0,0,0,0,301,0,0,0,0,0,4,"3,139",48,0,1,0,2,"1,869",99,0,0,0,0,40,0,0,0,0,0,0,0,0,0,900,51,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,"1,000",5,0,20,0,0,0,0,0,0,0,3,900,0,0,0,0,180,22,0,0,0,0,0,100,0,110,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,300,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,150,25,"2,970",980,0,260,0,800,0,0,200,0,0,100,500,0,415,0,"1,485",50,0,0,0,0,345,0,505,0,"1,500",0,350,560,0,0,0,0,0,0,0,0,0,0,60,173,0,0,0,0,900,0,979,25,0,0,40,28,0,0,600,18,0,0,"2,600","1,615",0,420,400,0,0,0,"7,345",0,0,35,0,200,0,0,0,0,0,0,0
5937,  North Okanagan RD,93,484,"1,145","1,224",998,535,400,"1,760","1,433",558,"4,447",60,289,306,456,154,"1,305","3,503",964,"5,258",440,543,987,220,"2,935",0,"29,685","2,257",682,"1,892",101,"3,290","1,823",351,"5,500","1,943",198,"5,130","2,040",165,695,"1,118",410,782,"6,166","4,726","2,573",657,"17,043","2,037","1,316",291,554,"2,495",786,"1,876","2,252","1,577",643,"2,275",914,660,"3,837","55,369","2,204","2,247","3,000",299,"6,751","1,067","1,750","4,354","5,068","15,850","4,426",832,"1,321","3,421","1,438",676,125,"1,576","2,089",738,86,"2,520","1,387","2,596",905,"1,378","2,061","1,047",224,"6,035","1,200",620,"3,895",445,840,"15,045","1,260",240,248,123,"3,783","1,171","8,266","1,175",295,485,"1,297",275,"3,605",995,"1,221","7,320",955,"1,220",293,400,475,511,853,73,438,415,690,235,320,851,"3,255",140,845,"1,153",310,768,349,"1,191","3,430",72,75,467,"2,090",101,196,17,687,26,"1,679","3,507","2,046","2,962","1,338","3,069",845,"4,815",32,"1,042","2,579","1,518",343,686,997,445,562,175,"1,328",100,515,"1,355",568,"14,960",140,"3,860","2,137",713,"2,081",499,48,651,123,"1,244",956,285,"3,253","8,424",398,164,"3,700",495,"2,900","1,524","1,945",926,"1,578","3,779","2,133","1,242",422,510,823,273,"10,462","4,411","7,010","4,400",963,603,755,70,"2,315","1,654","6,499","2,309",44,592,"5,409","11,128",738,247,914,127,874,"11,737","1,666","4,970","2,321","8,842",375,269,"9,537","1,991","2,211",445,"8,896",195,"5,663",360,"1,794",190,660,"12,060","17,881","1,135",118,"9,451","4,237","4,200","2,772",747,"12,624",436,"1,024","2,501","4,735","5,998",6,574,"6,801","125,525",266,"1,091","1,836",620,"7,030"
5937028,"    Armstrong, C",0,0,5,0,0,18,0,0,775,0,0,0,200,0,1,0,67,0,0,0,287,243,0,0,"2,927",0,9,0,1,0,25,0,245,0,310,0,28,0,0,0,0,0,15,0,0,0,15,82,0,415,200,5,0,59,12,0,393,0,0,0,0,0,0,0,200,0,0,0,426,252,10,0,15,0,0,4,0,0,0,0,0,"1,000",300,25,0,0,0,5,874,5,0,650,0,0,0,0,900,0,0,0,0,60,0,0,20,0,150,0,0,0,20,65,540,0,11,0,0,0,0,0,10,43,0,0,3,0,505,0,0,170,965,0,0,0,0,0,125,0,0,0,0,0,0,0,100,0,227,0,150,0,19,32,10,25,80,0,0,0,511,0,0,0,0,0,0,0,945,0,135,0,41,"1,500",10,90,425,60,0,0,1,101,0,0,30,0,0,0,50,0,"1,500",0,2,0,10,0,85,0,0,0,0,0,6,0,11,12,0,0,5,0,0,0,0,9,0,13,0,94,0,302,8,65,0,77,10,162,9,350,695,"4,010",0,19,0,12,350,20,"1,650",0,0,0,314,40,60,0,0,0,0,"8,512",0,0,0,6,200,0,9,1,103,0,0,0,0,55,11,0,0,0,250
5937010,"    Coldstream, DM",0,0,300,0,0,0,35,5,15,0,0,0,85,0,0,0,0,0,0,"2,765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,500,0,0,0,0,78,0,0,0,220,0,260,0,0,0,0,250,0,0,0,0,"1,400",0,0,0,0,0,0,75,"1,704","1,500",0,0,0,0,0,0,0,0,0,"15,761",0,40,0,0,0,0,0,0,60,0,0,0,940,6,0,0,0,0,0,0,0,0
5937033,"    Enderby, C",0,0,0,0,7,85,0,0,0,0,0,60,0,0,85,0,11,0,4,0,53,0,0,10,0,0,0,25,0,0,0,70,20,216,0,0,0,0,58,0,270,0,15,0,40,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,95,0,0,0,0,0,0,20,0,150,80,0,10,0,392,0,0,35,0,0,"2,810",0,0,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,92,0,0,0,75,0,0,49,"5,981",0,0,0,10,0,"4,080"
5937005,"    Lumby, VL",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,75,0,0,400,0,0,0,50,0,50,1,15,0,160,0,0,0,0,0,0,0,0,0,0,0,50,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,240,0,0,0,0,0,0,0,0,0,83,35,381,0,"2,450",0,0,0,0,0,0,40,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,162",0,0,0,0,3,0,0,0,0,0,0,"1,625",0,0
5937000,"    North Okanagan, RDR",5,70,0,455,55,246,223,350,20,558,50,0,0,0,50,0,18,"1,928",562,25,0,288,0,192,0,0,"11,476",110,278,179,46,"2,595",455,45,0,49,0,40,"1,615",0,0,100,0,616,"4,920",0,255,0,152,0,68,0,530,0,109,180,240,77,400,25,0,130,0,0,0,0,0,10,0,125,0,54,0,"1,649",530,0,315,0,510,527,0,430,0,0,0,0,17,350,6,450,190,0,16,0,40,0,0,0,0,0,0,0,18,78,50,350,14,0,20,0,60,0,20,800,0,350,280,250,0,0,0,0,0,0,0,0,65,0,10,0,545,0,80,0,0,0,0,23,630,10,20,100,0,0,0,0,250,1,0,150,12,120,"1,263","1,249",50,"1,550",0,5,0,0,0,0,33,0,290,50,0,0,0,0,0,0,0,80,"1,000",0,138,0,0,0,0,69,475,0,0,0,0,0,0,0,0,92,350,0,0,"1,550",0,657,0,0,107,0,70,660,"3,208",0,80,0,330,0,50,15,214,9,0,15,0,0,30,0,0,0,0,0,"1,607",30,"1,515",0,85,0,30,0,0,125,0,0,0,0,100,0,0,10,0,250,0,9,125,120,0,0,0,80,"1,000","2,500",0,0,0,0,0,0,0,0,0,500,500
5937024,"    Spallumcheen, DM",0,18,0,0,255,52,0,0,8,0,134,0,4,0,0,4,658,284,24,893,0,12,0,0,0,0,0,75,50,0,0,0,0,80,65,0,0,0,0,0,0,0,0,0,450,0,258,0,0,0,0,0,0,34,145,5,0,300,13,0,0,10,0,48,0,0,0,0,0,0,0,20,"2,800",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,70,100,17,0,0,520,0,0,0,0,0,0,120,18,25,0,0,0,0,0,0,90,0,270,0,430,0,0,158,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,"2,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0
5937014,"    Vernon, C",88,396,840,769,681,134,133,"1,405",615,0,"4,263",0,0,306,320,150,551,"1,291",374,"1,575",100,0,939,18,8,0,"18,200","2,047",353,"1,713",30,625,"1,103",10,"5,125","1,894",170,"5,090",297,165,381,"1,018",380,159,756,"4,726","2,045",575,"16,891","1,622","1,043",276,24,"2,402",520,"1,691","1,619","1,200",230,"2,250",914,520,"3,837","55,139","2,004","2,247","3,000",289,"6,325",690,"1,740","4,280","2,103","14,201","3,436",828,"1,006","3,421",928,149,50,146,"1,209",308,86,"2,520","1,370","2,191",25,803,"1,770",365,208,"5,512",640,620,"2,995",445,840,"15,045","1,260",60,212,20,"3,713",771,"8,087","1,175",255,468,"1,127",210,"2,769",195,780,"6,970",675,590,293,400,465,468,736,73,425,415,120,235,310,681,"1,745",140,765,"1,153",310,768,206,"1,053","2,600",62,55,317,90,101,96,17,210,25,"1,529","3,357","2,015","2,710",65,"1,795",715,"3,265",32,"1,037","2,068","1,498",343,686,931,445,272,125,93,90,380,"1,355",287,"12,710",130,"3,685",712,653,"1,943",499,47,550,40,"1,140",70,285,803,"8,374",339,164,"2,200",495,"2,898","1,392","1,490",926,"1,443","2,229","2,133",585,422,490,685,75,"9,801","3,739","3,792","4,400",486,495,400,35,"2,265","1,410",775,"2,027",44,283,"5,404","10,826",450,182,914,50,864,"10,175",33,"4,590",111,"4,832",290,250,"9,432",275,361,0,"7,246",195,"5,563",360,"1,380",150,600,"12,050","2,020",885,33,850,"4,112","4,080","2,772",741,"11,170",296,15,0,"4,557","5,055",0,525,820,"125,470",255,971,201,120,"2,200"
