SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5931020,"    Whistler, DM",0,0,0,0,0,0,"2,015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,125,0,0,0,0,100,0,0,0,0,0,0,97,0,0,0,137,0,0,0,0,100,276,0,0,0,0,100,0,2,0,112,0,0,0,0,"3,100",0,7,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,120,0,10,225,0,0,25,16,0,0,0,"28,000",0,0,0,0,15,0,0,48,20,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,10,0,0,132,0,0,0,67,15,0,0,15,0,0,565,265,0,0,0,0,0,0,0,0,0,40,0,0,300,0,25,0,0,0,0,0,0,0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,575,0,0,0,0,0,0,0,"1,158",0,0,0,135,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,"4,250","2,650",0,0,0,0,0,0,0,0
5929,  Sunshine Coast RD,"4,500",380,0,0,0,0,"1,000",0,500,32,0,0,0,0,0,0,0,0,205,0,434,0,"11,345",180,298,0,5,530,"1,520",50,0,0,0,0,0,0,20,0,0,40,0,50,0,0,246,0,0,650,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,55,90,0,0,0,0,752,0,44,0,0,0,0,83,0,0,25,8,11,0,0,0,48,0,0,0,0,0,0,296,60,160,0,0,0,0,0,0,0,"3,600",0,10,0,50,0,0,55,0,0,0,0,0,0,0,0,30,0,"8,470",0,0,"1,015",0,70,0,0,0,0,0,0,0,0,0,0,"3,000",150,0,0,0,0,0,452,0,0,70,0,350,0,0,16,0,0,110,0,0,200,15,0,0,0,0,0,0,0,"5,355",0,0,0,0,3,0,140,75,0,0,0,0,25,765,50,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,18,0,0,0,306,130,0,0,"5,226",0,0,0,0,120,0,0,213,0,105,253,0,0,0,0,"27,100",0,0,0,0,0,0,0,0,0,"24,600",0,0,0,0,0,0,0,0,0,0,"1,500",0,0,924,0,915,"2,200",175,100,0,350,0
5929005,"    Gibsons, T",0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,25,0,430,0,"11,055",0,0,0,5,0,0,50,0,0,0,0,0,0,20,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,90,0,0,0,0,0,0,44,0,0,0,0,0,0,0,25,8,0,0,0,0,48,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,"3,600",0,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,300",0,0,"1,000",0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,15,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,25,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,175,100,0,0,0
5929011,"    Sechelt, DM","4,500",380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,"1,520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,170,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,70,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,140,75,0,0,0,0,0,750,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,306,130,0,0,"4,004",0,0,0,0,120,0,0,148,0,30,0,0,0,0,0,"27,100",0,0,0,0,0,0,0,0,0,"24,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0
5929028,"    Sunshine Coast F, RDA",0,0,0,0,0,0,"1,000",0,0,32,0,0,0,0,0,0,0,0,180,0,4,0,290,180,298,0,0,450,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,216,0,0,650,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,83,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,292,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000",150,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,200,0,0,0,0,0,0,0,0,"4,995",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,222",0,0,0,0,0,0,0,65,0,75,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,924,0,0,"2,000",0,0,0,350,0
Development Region, Thompson/Okanagan DR,"1,745",787,"12,390",467,"4,243","4,653","15,472","7,832","20,456",887,"1,019",195,"3,497","3,140","1,854","2,483","2,953","5,335","22,883","2,528","5,645","2,441","16,746",450,"10,302","6,286",421,422,"22,790","14,079","23,529","16,003",375,"6,368","7,980","13,482","5,122","3,235","5,523","5,446","34,843","5,199","11,226","5,565","15,979","25,732","6,778","1,097","2,119",100,"13,864",790,"12,150","34,766","7,071","8,631","18,134","6,126","3,362","24,666","2,330","10,130","1,031","13,371","26,963","8,517","1,737","1,093","47,746","12,591","14,382","4,053","3,571","3,180","23,748","7,653","2,115","130,811","2,941","192,430","2,395","26,660","3,038",196,"3,484","1,849","10,048","21,424","5,172","6,473","4,973","1,127","59,396","1,953","1,083","1,735","3,678","2,285","20,135","19,600","38,278","23,936",852,"3,669","1,239","1,838","8,712","1,297","3,864","1,207","9,170","14,857","4,372","12,416","3,373","25,969","1,558","3,056",763,"1,670","10,020",202,136,"37,370",857,"1,338","19,693","45,965","19,741","7,731",213,600,829,"3,017","8,165","11,684","8,545","1,590","60,618","14,182","7,290","14,376",908,180,"12,941","2,151","1,536","7,157","2,578","11,897","2,164","1,403","17,082","32,117","21,596","1,845","28,249","2,761","3,080","3,132","18,213","5,491",554,"57,474","2,475","18,521","1,036",704,"1,515",203,"29,823","2,486",386,"78,503","7,880","9,989","14,126","19,790","3,622","1,093","32,902",327,545,"3,902","1,292","1,473","50,298","19,575","3,632","3,466","32,191","1,461",359,168,"10,168","1,202","6,034","35,895","13,120","9,720","43,037","13,582","6,799",230,"3,843","4,684","2,232","22,052","1,088","60,804","27,357","7,939","112,727",859,"1,767",415,618,"31,169","3,916","1,686",322,"3,242","5,834","2,720",923,"1,665","10,687","22,655",687,"5,405","17,294","51,068","7,465","10,213","9,066","3,182","9,660","16,930","23,315","2,342","91,980",949,"1,200","3,673","13,923","5,061","1,436","72,929","3,635","24,639",202,217,343,"15,255","28,729","1,716","93,877","2,122","30,587","8,205","5,081","6,783","11,391","9,275","2,802"
5935,  Central Okanagan RD,330,36,346,243,458,"4,193","5,301",189,452,216,30,45,"2,956","3,100",18,115,522,"1,092","8,182",674,0,"2,027","1,460",225,"10,090","3,875",21,35,"21,245",602,130,648,307,"4,038","5,550","7,460",240,396,"2,819","4,971","7,735",225,744,"3,459",113,"23,460","6,357",377,0,78,68,80,5,"24,821",62,471,107,206,30,"21,726",0,70,115,"1,675","24,853","5,990",390,35,"46,075","10,935","13,265","3,405","2,935",62,"23,000",634,20,"128,945",346,"110,134",39,"1,583",75,6,"3,461",151,"10,045",991,400,"1,300",20,485,"22,202","1,072",610,175,105,51,"13,773","4,502",0,"19,703",509,"2,422",18,461,57,"1,051",255,945,800,"4,598",116,46,"1,149","10,458",96,"2,240",225,"1,400","1,255",100,15,"33,067",0,350,"19,470","41,270",70,"1,835",183,74,817,"2,473","3,454","4,545","5,354",200,"1,326","5,964","4,804","11,011",0,150,"12,924","1,720",32,"3,485",0,"5,020",750,80,"16,971","31,495","15,390",435,"27,765",560,10,92,20,"2,867",250,45,578,240,577,10,425,20,"28,512",873,40,"1,458","3,230",371,10,250,117,670,"25,180",90,25,"1,705",585,165,"43,691","18,040",10,466,"3,970",405,46,10,280,"1,000","3,211","1,370","11,260",588,"24,782","1,494","6,260",0,"1,723",16,"1,010","2,500",206,"13,419",868,515,"10,605",625,329,390,10,"30,625",20,174,207,536,870,498,550,815,250,250,165,"1,018",328,"5,055","1,780","2,025",890,405,"7,010","11,800","19,930",165,"87,284",30,0,"1,565","13,210",737,0,"70,280","2,315","21,404",0,0,0,95,"11,978",271,"86,361",322,"1,007",135,"3,900","4,000","2,320",750,106
5935000,"    Central Okanagan, RDR",8,0,0,10,25,2,751,20,33,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,"10,090",0,0,0,"1,000",1,0,300,0,4,0,0,0,150,"2,799",0,600,0,257,4,12,"5,400","6,033",0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,105,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,800",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5935010,"    Kelowna, C",322,36,346,233,433,"4,191","4,550",169,419,216,30,45,"2,956","3,100",18,55,522,"1,092","8,182",674,0,"2,027","1,460",225,0,"3,875",1,35,"20,230",601,130,348,307,64,"5,550","7,452",240,246,20,"4,971","7,135",225,477,"3,455",101,"18,060",324,377,0,78,0,80,5,"24,821",54,311,107,206,30,"21,726",0,70,10,"1,675","24,045","5,990",204,35,"46,075","10,935","13,265","3,405","1,665",58,"23,000",584,20,"122,440",281,"110,112",39,"1,583",75,6,"3,461",91,"10,045",945,400,"1,300",20,480,"22,202",572,551,175,97,14,"11,577","4,502",0,"19,652",272,"2,272",18,420,57,"1,027",254,945,800,"4,598",1,46,"1,144","10,458",81,"1,740",135,"1,400","1,255",0,15,"33,065",0,250,"6,070","41,270",70,635,178,74,817,"2,473",200,"4,535","5,104",0,"1,326","5,922","2,094","11,000",0,150,"12,844","1,720",22,"2,385",0,"5,020",730,20,"16,220","31,400","15,390",435,"27,765",560,10,92,20,"2,867",190,45,340,240,570,10,215,20,"28,410",823,40,"1,450","3,230",350,10,0,12,670,"25,000",10,25,"1,580",520,145,"43,099","18,000",10,466,"3,955",400,46,10,280,"1,000","3,211","1,310","11,260",588,440,"1,314","6,260",0,"1,698",16,"1,010","2,500",206,"3,719",768,215,"10,605",625,117,385,10,"30,625",20,174,207,521,670,418,550,763,250,250,165,"1,000",310,"5,055",145,"2,025",390,0,"4,960","11,800","18,130",150,"87,260",30,0,15,"13,186",675,0,"70,065","2,315","21,404",0,0,0,80,"6,360",270,"2,815",322,846,50,"3,900","4,000","1,420",750,106
5935016,"    Lake Country, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,0,0,0,0,"3,970",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,160,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"1,100",0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,10,0,250,105,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,"24,307",0,0,0,0,0,0,0,0,"9,000",0,300,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,18,18,0,"1,560",0,0,0,0,0,0,0,0,0,0,0,24,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5935018,"    Peachland, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,1,0,0,0,0,0,0,0,0,0
5935029,"    West Kelowna, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,270",0,0,50,0,"6,500",65,22,0,0,0,0,0,0,0,21,0,0,0,5,0,500,49,0,0,0,"2,196",0,0,51,0,150,0,41,0,24,1,0,0,0,115,0,0,0,15,0,90,0,0,100,0,2,0,100,"13,400",0,0,0,5,0,0,0,"3,254",0,250,0,0,42,"2,705",11,0,0,80,0,10,0,0,0,0,0,691,95,0,0,0,0,0,0,0,0,60,0,238,0,7,0,180,0,0,50,0,8,0,11,0,0,0,0,180,0,0,125,65,20,586,40,0,0,0,5,0,0,0,0,0,60,0,0,35,180,0,0,25,0,0,0,0,700,100,0,0,0,212,5,0,0,0,0,0,15,200,0,0,52,0,0,0,0,0,0,75,0,500,405,"2,050",0,0,0,6,0,0,"1,550",0,2,0,215,0,0,0,0,0,15,"5,250",0,"83,546",0,161,85,0,0,900,0,0
5939,  Columbia-Shuswap RD,0,41,429,42,155,75,"1,842",166,145,26,440,150,331,40,0,516,44,296,270,"1,037","4,995",0,208,0,7,100,26,340,144,"11,672",291,"6,510",23,"2,103",0,0,1,139,"2,525",453,100,4,12,"1,630","6,808",182,132,200,4,22,"4,111",35,1,0,93,"3,304",102,0,269,0,0,115,0,"11,010",140,0,183,271,11,30,506,463,240,0,145,11,186,39,74,261,523,15,2,0,12,0,0,"1,898","3,537",4,"3,922",11,"28,553",99,68,65,0,18,806,"14,356",16,130,0,315,49,2,"7,670",80,75,2,0,45,31,1,0,263,21,71,18,30,20,2,0,92,607,762,39,0,346,33,30,0,1,0,"4,027","6,500",54,318,35,"7,482",168,365,1,0,0,22,0,179,688,"6,700","1,192",1,16,129,0,0,200,1,"1,640",0,22,3,60,165,8,0,220,0,0,19,0,153,270,350,150,12,"9,707",36,30,200,484,0,0,47,135,0,355,390,48,0,30,0,86,15,"1,148",82,59,145,955,20,150,28,0,4,0,3,5,150,800,"1,290",0,482,516,0,0,0,365,165,500,0,0,"1,950","1,399",10,20,2,0,250,0,0,700,60,0,273,6,76,0,"2,108",0,"1,428",124,10,0,50,197,400,0,"1,795","1,200","2,652",0,130,60,55,308,151,10,0,"20,000",692,"1,121",0,"3,887",0,"2,321"
5939000,"    Columbia-Shuswap, RDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,"1,600",0,0
5939007,"    Golden, T",0,0,0,10,0,0,0,62,45,0,440,0,0,0,0,182,38,0,225,0,1,0,80,0,0,100,0,300,9,901,0,69,0,0,0,0,1,0,0,0,100,1,12,30,0,0,2,0,0,0,11,18,0,0,70,0,100,0,269,0,0,5,0,10,40,0,182,121,5,0,0,410,0,0,85,0,83,0,0,0,427,11,0,0,0,0,0,0,35,4,422,11,0,53,6,65,0,1,1,50,16,50,0,8,0,0,0,0,0,0,0,0,0,1,0,2,21,43,17,0,0,0,0,70,572,0,26,0,21,0,0,0,0,0,0,0,25,18,35,0,34,250,0,0,0,9,0,0,288,0,982,0,0,129,0,0,0,0,500,0,17,0,0,165,0,0,0,0,0,0,0,150,270,0,0,0,0,30,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,"1,137",82,59,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,40,181,0,20,2,0,50,0,0,0,0,0,0,0,68,0,0,0,0,0,10,0,50,197,0,0,0,0,0,0,0,0,0,266,1,0,0,0,0,0,0,0,0,"2,313"
5939019,"    Revelstoke, C",0,10,0,32,10,0,12,0,80,26,0,0,0,30,0,334,6,0,0,0,5,0,0,0,0,0,11,0,0,0,246,"5,000",0,0,0,0,0,49,"2,500",0,0,0,0,"1,600",0,182,6,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,"3,500",0,0,0,"28,553",0,2,0,0,0,97,"14,306",0,80,0,307,0,0,0,0,0,2,0,0,31,0,0,41,0,0,1,30,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,400,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,150,12,0,0,0,200,0,0,0,25,0,0,350,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,800,"1,290",0,482,0,0,0,0,0,0,0,0,0,0,"1,218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,42,150,0,0,0,584,"1,121",0,0,0,8
5939032,"    Salmon Arm, DM",0,31,429,0,145,75,630,104,20,0,0,150,331,10,0,0,0,296,45,"1,037","4,989",0,3,0,7,0,15,40,135,"10,771",45,"1,300",16,"2,103",0,0,0,90,25,453,0,3,0,0,"6,808",0,124,200,0,22,"4,100",0,1,0,23,"3,304",2,0,0,0,0,110,0,"11,000",100,0,1,150,6,0,506,0,240,0,50,11,103,39,74,261,96,4,2,0,12,0,0,920,2,0,0,0,0,46,60,0,0,17,688,0,0,0,0,0,49,2,"7,670",80,75,0,0,45,0,0,0,170,0,28,0,0,20,2,0,21,35,750,13,0,325,33,30,0,1,0,"4,027","6,500",29,300,0,"7,482",79,115,1,0,0,13,0,174,0,"6,700",80,1,16,0,0,0,200,1,"1,140",0,5,3,60,0,8,0,220,0,0,19,0,3,0,0,0,0,"9,707",6,30,0,484,0,0,0,135,0,5,40,48,0,30,0,86,15,11,0,0,145,5,20,150,28,0,4,0,0,5,0,0,0,0,0,516,0,0,0,0,0,500,0,0,"1,910",0,10,0,0,0,200,0,0,700,60,0,0,6,8,0,"2,108",0,"1,428",124,0,0,0,0,400,0,0,0,"2,652",0,130,0,55,0,0,10,0,0,58,0,0,0,0,0
5939045,"    Sicamous, DM",0,0,0,0,0,0,"1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,500",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,795","1,200",0,0,0,0,0,0,0,0,0,"20,000",0,0,0,"2,287",0,0
5937,  North Okanagan RD,46,0,"1,449",0,"1,550",8,0,50,"3,388",220,21,0,20,0,"1,375","1,400",418,0,718,0,48,0,490,0,4,"1,696",20,0,0,"1,805",24,492,15,207,0,"5,900","4,875",97,0,0,8,22,870,37,371,190,148,200,0,0,"7,521",0,34,0,0,"2,277","7,480",0,"2,893",35,0,0,76,611,23,0,0,250,260,5,145,185,5,"1,014",600,"6,833",67,0,"1,506","80,773",305,0,357,190,0,254,0,0,0,0,367,367,"8,494",86,0,708,5,"1,850",0,50,"35,367",0,54,0,358,300,101,166,0,70,"4,796",20,"2,595",50,512,793,835,0,100,95,0,0,100,0,150,45,154,165,0,60,0,70,0,0,0,0,"2,520",65,"15,900",0,15,0,0,0,0,1,0,"3,175","1,805",0,52,630,0,433,40,0,90,"2,000",0,0,"18,000","1,505",0,0,4,500,0,462,0,120,400,55,60,235,0,"2,141",320,0,0,0,0,0,10,0,88,328,"2,665",75,"2,513","1,600",44,675,0,0,60,0,"1,500",0,265,235,0,98,0,56,600,77,0,"7,400",0,0,"4,279",0,69,150,30,0,0,0,3,"1,352",40,266,150,625,0,655,"6,200",0,420,300,"15,580",0,150,"6,625",600,"1,636",98,"3,000",0,0,272,40,0,15,430,"1,510",0,497,0,183,0,0,0,"7,155",0,754,"2,500",50,0,"1,949",50,375,350,0,125
