Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
6月 2008,153.2,152.7,150,153.5,150.2,158.1,538800,814900,630600,909500,429900,341600
7月 2008,150.4,149.7,147,150.5,148.7,155.2,528800,799100,618000,892200,425600,335400
8月 2008,147.9,146.9,144,147.7,147.3,153.6,520100,784000,605600,875300,421600,331900
9月 2008,145.5,144,141,144.9,146,152,511600,768900,593000,858800,418000,328400
10月 2008,140.9,140.1,137.1,140.9,142.1,146.1,495500,747800,576600,835200,406800,315800
11月 2008,136.8,136.3,133.3,137.1,138.4,141,481000,727500,560400,812500,396300,304800
12月 2008,133.1,132.6,129.6,133.3,135,137.1,467900,707600,544800,790300,386500,296300
1月 2009,132.7,132.1,128.4,133,134.7,137.2,466700,704900,540000,788500,385600,296400
2月 2009,132.4,131.5,127.3,132.6,134.3,137.1,465600,701700,535200,786100,384600,296300
3月 2009,132.1,131,126.3,132.4,134.1,137.3,464600,699300,531000,784600,383800,296700
4月 2009,134.3,133.2,127.8,134.7,135.5,139.9,472300,711200,537500,798600,387900,302400
5月 2009,136.5,135.4,129.4,137,136.8,142.9,480100,722900,544000,812200,391700,308800
6月 2009,138.9,137.4,130.9,139,138.4,146.2,488200,733300,550500,823800,396100,315900
7月 2009,141.6,140.4,133.8,142,140.5,148.4,497900,749700,562500,841500,402300,320600
8月 2009,144.5,143.6,136.7,145.1,142.7,150.6,507900,766800,574800,860200,408500,325400
9月 2009,147.5,147,139.7,148.4,145,153.4,518600,784500,587300,879500,415000,331600
10月 2009,149.1,149,141.5,150.4,146.8,154.3,524200,795100,594800,891700,420300,333400
11月 2009,150.9,150.9,143.4,152.3,148.5,155.9,530600,805700,603000,902800,425100,336900
12月 2009,152.7,153,145.5,154.2,150.2,157.4,536800,816500,611700,914200,429900,340100
1月 2010,155.3,156.4,148.2,157.9,152,159,546200,835100,623200,935900,435200,343600
2月 2010,157.4,158.9,150.9,160.2,153.5,160.2,553500,848400,634700,949400,439600,346200
3月 2010,160.7,162.9,154.2,164.2,156.3,162.2,565000,869600,648500,973200,447400,350600
4月 2010,162.1,164.6,155.3,166,157.9,163.5,570000,878800,652900,983900,452100,353300
5月 2010,162.6,165.4,155.9,166.8,158.2,163.4,571600,883000,655600,988600,452800,353200
6月 2010,161.5,164.2,154.2,165.6,157.6,161.9,567900,876500,648300,981700,451200,349900
7月 2010,160.4,163.6,153.3,165.1,156.8,159.4,564000,873200,644600,978400,448800,344500
8月 2010,160,163.1,152.5,164.6,155.1,159.4,562400,870400,641300,975400,444000,344400
9月 2010,159.6,162.9,152.7,164.2,153.7,159.4,561300,869600,642100,973200,440000,344400
10月 2010,160,163.2,152.3,164.5,153.7,159.2,562600,871000,640600,974900,439900,344100
11月 2010,160.9,164.1,152.2,165.6,153.5,159.8,565600,876200,640000,981700,439500,345300
12月 2010,162.6,166.2,152.2,168.1,154.5,160.8,571700,887000,640100,996400,442400,347500
1月 2011,166.3,170.8,153.9,173.4,156.3,162.5,584800,911500,647200,1027700,447400,351200
2月 2011,172,177.7,160.5,180.2,159.2,165.2,604600,948800,674700,1068300,455700,357000
3月 2011,175.3,182.1,164.5,184.6,160.7,166.7,616500,972100,691800,1094100,460100,360300
4月 2011,179,187.1,169,189.3,162.7,167.5,629400,998600,710600,1122100,465700,362000
5月 2011,182.3,191.3,172.1,193.8,163.2,168.3,640800,1021300,723500,1148500,467200,363600
6月 2011,184.2,194.2,175.7,196.3,163,168,647800,1036800,739000,1163500,466700,363000
7月 2011,185.9,196.7,177.2,199,163.5,167.5,653600,1050100,745100,1179700,468000,361900
8月 2011,187,198,178,200.4,164.6,167.2,657400,1057100,748300,1187800,471200,361300
9月 2011,186.1,196.9,176.9,199.2,163.3,166.5,654500,1050900,744000,1180800,467500,359900
10月 2011,185.9,196.8,177.1,199,164,165.2,653700,1050400,744900,1179400,469400,356900
11月 2011,185.8,196.5,178,198.4,162.9,165.9,653300,1048700,748300,1175700,466500,358500
12月 2011,184.9,195.4,177,197.2,161.2,166,650100,1042900,744200,1169000,461600,358800
1月 2012,186,196.5,177.7,198.5,161.3,166.8,653900,1049100,747400,1176300,461700,360400
2月 2012,190,202.4,180.8,204.9,163.2,167.7,668200,1080300,760200,1214600,467200,362500
3月 2012,191.3,203.4,183.8,205.3,165.7,168.9,672700,1085900,772800,1217100,474400,364900
4月 2012,192.2,204.1,186.4,205.4,167,169.7,675600,1089600,784000,1217700,478200,366700
5月 2012,190.5,201.6,186.6,202.2,166.3,169.2,669900,1076100,784500,1198700,476100,365600
6月 2012,189.1,199.9,186,200.2,164.7,168.6,664900,1067000,782000,1186600,471500,364300
7月 2012,186.2,196.9,183.4,197.2,162.5,165.9,654700,1051000,771000,1168700,465200,358600
8月 2012,185.3,195.7,181.6,196.2,161.6,166.1,651500,1044400,763800,1162800,462600,359000
9月 2012,184.3,194.8,181,195.3,160,164.8,647900,1040000,761200,1157800,458200,356100
10月 2012,183.1,193,179.1,193.4,160.4,164,643900,1030000,753300,1146300,459300,354300
11月 2012,181.5,190.9,174.6,192.1,160.2,162.4,638100,1018900,734000,1138800,458700,350900
12月 2012,180.2,188.8,172.6,190,160.1,162.1,633700,1007600,725800,1126200,458400,350200
1月 2013,179.9,188.2,171.6,189.6,160.4,161.6,632700,1004800,721500,1123800,459100,349200
2月 2013,182.8,191.4,172.6,193.4,162.6,164.5,642800,1021600,725900,1146100,465400,355500
3月 2013,183.2,191.5,175.7,192.6,161.9,165.8,644200,1022400,739000,1141600,463600,358400
4月 2013,184.4,193.7,176.4,195.1,160.8,165.3,648300,1034100,741600,1156300,460300,357300
5月 2013,185.2,193.7,176.1,195,162.3,166.8,651100,1034100,740500,1155500,464800,360500
6月 2013,185.7,194.4,176.7,195.6,162,166.9,652900,1037500,742900,1159500,463800,360600
7月 2013,186.5,195.1,178.5,196,161.7,167.8,655700,1041700,750400,1161900,462900,362700
8月 2013,186.8,195.5,180.1,196,162,167.9,656900,1043800,757400,1161700,463800,362900
9月 2013,187.6,196.1,181.5,196.2,161.8,169,659500,1046800,763300,1162600,463300,365300
10月 2013,187.6,197.6,182.4,197.6,162.8,165.6,659600,1054700,767000,1171300,466000,357900
11月 2013,188.5,198.3,182.7,198.4,162.6,167.3,662700,1058600,768100,1176000,465600,361500
12月 2013,188.5,198.9,184.4,198.7,162.5,165.8,662600,1061900,775200,1177700,465300,358200
1月 2014,190.3,201.4,186.9,201.1,162.1,167.7,669000,1074900,785900,1191900,464200,362500
2月 2014,191.8,202.6,185.2,203.1,164.3,169.9,674400,1081500,778900,1203700,470500,367100
3月 2014,193.5,204.8,186.7,205.3,165,170.5,680300,1093300,785200,1217000,472500,368400
4月 2014,194.2,205.5,188.7,205.7,166.5,171.2,682900,1097100,793300,1219000,476800,370000
5月 2014,195,205.9,189,205.8,168.1,172.7,685600,1099000,794600,1220000,481400,373300
6月 2014,195.2,206.6,189.5,206.5,169,171.7,686300,1102800,797000,1223900,483800,371000
7月 2014,195.6,207.5,189.8,207.4,169.3,171.1,687900,1107700,797900,1229100,484800,369700
8月 2014,195.3,206.3,189.3,206,169.6,172.2,686700,1101400,795800,1220900,485500,372100
9月 2014,196.6,208.2,189.4,208.1,170.1,172.1,691300,1111600,796300,1233300,487100,372000
10月 2014,197.4,209.3,189.7,209.2,170.2,172.6,694200,1117200,797500,1239800,487400,373000
11月 2014,198.9,211.1,190.2,211.1,170.4,173.8,699400,1127100,799900,1251100,487800,375600
12月 2014,199.7,213,192.4,212.7,169.6,172.7,702000,1136800,808900,1260700,485700,373300
1月 2015,202.8,217.3,196.5,216.9,171.6,174,713100,1160100,826300,1285500,491300,376000
2月 2015,207,223,204.1,221.8,172.9,175.7,727700,1190400,858200,1314600,495000,379700
3月 2015,211.7,228.2,208.1,226.9,175.9,178.7,744500,1218300,875200,1344800,503700,386200
4月 2015,215.2,232.4,212.4,230.7,177.3,180.6,756800,1240700,893100,1367400,507700,390200
5月 2015,219.5,238,215.1,236.5,180.1,182.2,771900,1270300,904600,1402000,515700,393700
6月 2015,223.4,242.6,218.7,241.1,182.2,183.5,785600,1295000,919700,1428900,521600,396600
7月 2015,226.7,247.5,223.7,245.7,183.5,184.3,797100,1321300,940600,1456500,525500,398200
8月 2015,229.5,251.6,227.8,249.5,184.1,185.6,807000,1342800,958100,1479000,527100,401000
9月 2015,232.4,254.9,231.6,252.6,186.7,188.1,817100,1360500,973800,1497200,534600,406500
10月 2015,236.1,259.9,235.3,257.8,190.5,189.1,830000,1387200,989300,1527800,545500,408700
11月 2015,239.6,264.3,240.7,261.6,192.1,191.8,842600,1410600,1012300,1550700,549900,414500
12月 2015,243.5,269.6,247.3,266.4,193.9,193,856200,1439100,1039900,1579100,555200,417000
1月 2016,251.7,279.9,260.7,275.6,196.9,198.5,884900,1494100,1096100,1633300,563600,429000
2月 2016,264.6,295.8,275,291.3,204.1,205.9,930400,1579000,1156200,1726600,584200,445000
3月 2016,274.3,307.3,286.4,302.6,213.6,211.1,964600,1640400,1204300,1793500,611500,456200
4月 2016,282.3,316.1,290.4,312.6,220.8,216.9,992400,1687400,1221200,1852500,632200,468700
5月 2016,288.3,322.5,296.4,319.1,230.3,222.5,1013600,1721700,1246400,1891600,659400,480800
6月 2016,292.4,326.9,298.7,323.8,234.9,228.7,1028200,1745100,1256000,1919300,672600,494200
7月 2016,294.6,330.2,300.1,327.6,237.4,231.8,1035900,1762700,1261900,1941400,679800,501000
8月 2016,290.9,325.6,291.7,324.2,238.5,230.8,1022700,1738200,1226400,1921800,682800,498800
9月 2016,286.9,320.1,281.7,320.1,238,231.9,1008900,1708900,1184700,1897500,681400,501100
10月 2016,278.9,309.8,277.8,308.7,235.6,229.2,980700,1653700,1168300,1829700,674500,495400
11月 2016,275.5,304.2,272.2,303.5,237.3,230.7,968800,1624000,1144600,1798600,679300,498600
12月 2016,272.6,299.2,267.6,298.6,237,232.6,958400,1597000,1125200,1769900,678400,502700
1月 2017,273.7,298,264.3,298.1,241.5,238.8,962400,1590800,1111400,1766600,691400,516000
2月 2017,278.4,303.4,268.5,303.6,245.6,244.9,978900,1619300,1129000,1799400,703100,529300
3月 2017,283.1,308.4,277.4,307.6,250.3,252,995500,1646400,1166300,1823000,716500,544600
4月 2017,289.4,315.3,284.7,314.1,255.9,260.2,1017500,1683000,1197300,1861600,732500,562200
5月 2017,294.7,321.3,292,319.7,261.1,267.3,1036100,1715200,1227900,1895100,747600,577600
6月 2017,297.3,323.4,293.4,321.9,265.8,273.2,1045200,1726300,1233700,1908000,760900,590300
7月 2017,298,323.7,295.2,322,271,275.8,1047800,1728100,1241400,1908700,775900,596100
8月 2017,296.6,320.4,292.5,318.8,274.3,279.4,1042700,1710500,1230000,1889300,785200,603800
9月 2017,295.4,319.1,293,317.1,274,280.8,1038700,1703300,1231900,1879600,784400,606900
10月 2017,295.3,317.9,292.9,315.7,276.8,284.5,1038300,1696700,1231500,1870900,792500,614700
11月 2017,294.5,316.5,288.9,315.2,277.3,286.2,1035500,1689400,1214900,1868000,793900,618400
12月 2017,294.1,314.3,288.8,312.6,278.3,289.8,1034000,1677900,1214500,1852700,796800,626200
1月 2018,295.3,313.5,291.2,311,278,297.2,1038100,1673600,1224400,1843200,795800,642300
2月 2018,295.9,312.9,289.9,310.7,284.6,300.7,1040400,1670100,1219000,1841600,814700,649800
3月 2018,296.1,310.3,289.3,307.9,291.3,307.2,1041100,1656200,1216300,1824900,834000,663900
4月 2018,294.3,308.4,288.3,306,294,306.8,1034700,1646200,1212100,1813400,841800,662900
5月 2018,291.7,305.1,288.1,302,294.5,306.9,1025700,1628800,1211300,1790000,843100,663200
6月 2018,290,304.4,283.7,302.6,294.3,305.6,1019500,1625100,1192900,1793400,842700,660500
7月 2018,286.9,300.2,281.3,298,292.9,305.5,1008900,1602400,1183000,1766000,838600,660200
8月 2018,282.8,296.8,274.8,295.5,290.5,300.7,994400,1584200,1155700,1751600,831600,649900
9月 2018,278.1,291.9,273.3,289.9,286.8,296.3,977700,1558100,1149100,1718100,821100,640300
10月 2018,275.4,289.8,270.2,288,284.9,293.9,968300,1546800,1136100,1707200,815600,635200
11月 2018,269.7,284.7,267.1,282.6,281.3,287,948400,1519800,1123000,1675100,805300,620100
12月 2018,266.4,279.8,259.8,278.7,275.2,288,936600,1493500,1092300,1651600,788000,622300
1月 2019,261.5,272.3,252.2,271.5,271.6,287,919400,1453800,1060700,1609200,777700,620300
2月 2019,259.6,271.4,249.6,271.1,272.2,285.3,912600,1448800,1049500,1607100,779400,616500
3月 2019,258.4,272.5,250.3,272.3,270.1,284.4,908700,1454700,1052400,1613700,773200,614500
4月 2019,256.9,271.6,251.1,270.5,272.7,283.1,903300,1449900,1055800,1603500,780600,611700
5月 2019,254.2,269.4,251.8,267.3,273.8,279.1,893700,1438000,1058900,1584300,784000,603200
6月 2019,253,268.8,253.7,266.1,271.4,277.9,889700,1434900,1067000,1577000,777000,600500
7月 2019,251.3,266.3,251.2,263.4,271.1,276.3,883700,1421300,1056200,1561200,776200,597100
8月 2019,251.9,266.7,250.8,263.7,272,276.4,885600,1423400,1054600,1563200,778700,597300
9月 2019,252.8,267.6,252.1,264.4,270.1,278.1,889000,1428300,1060200,1566900,773400,600900
10月 2019,254,270.3,253.6,267.2,269.9,277,893100,1443100,1066400,1583400,772800,598500
11月 2019,255.2,270.3,253.7,266.8,271,279.7,897400,1443000,1066800,1581300,776000,604400
12月 2019,256.4,271.3,255,267.5,274.3,280.7,901500,1448100,1072300,1585200,785300,606500
1月 2020,259.3,273.5,255.2,270,276.5,285.5,911800,1459900,1073000,1600000,791600,617000
2月 2020,262.7,275.9,260.5,271.5,278,291.5,923700,1472900,1095300,1609400,795900,630000
3月 2020,264.2,279.1,262.9,274.7,280,290.7,929100,1489600,1105300,1627900,801700,628300
4月 2020,263.8,280.4,263.7,276.1,277.6,289.1,927600,1496900,1109000,1636600,794900,624700
5月 2020,263.9,280.8,263.8,276.6,278.5,289.1,927800,1499100,1109300,1639500,797400,624800
6月 2020,264.1,281.6,265.9,277,279.1,288,928600,1503300,1117900,1641500,799200,622400
7月 2020,265.6,284.3,271.6,278.5,282.7,285.8,934000,1517400,1142100,1650900,809500,617700
8月 2020,268.6,287.2,274.6,281.2,283.5,288.2,944300,1533300,1154500,1666600,811700,622900
9月 2020,270.9,290.4,276.8,284.3,284.6,288.6,952400,1550300,1163900,1685300,814900,623700
10月 2020,272.4,292.8,278.7,286.7,286.5,287.1,957900,1562900,1171900,1699400,820200,620500
11月 2020,274.6,296.6,283.3,290.2,286.6,287,965500,1583500,1191400,1719800,820400,620200
12月 2020,276.1,299.5,288.2,292.3,286.8,286.3,970900,1598700,1211800,1732700,821200,618600
1月 2021,280.8,305,293.5,297.6,287.5,292.1,987400,1628100,1234000,1764100,823200,631300
2月 2021,289.6,315.4,307.2,306.5,299.8,297.5,1018400,1683500,1291800,1816900,858300,643000
3月 2021,301.8,329.4,321.7,319.8,313.6,305.9,1061000,1758600,1352600,1895700,897900,661100
4月 2021,308.6,336.8,327.6,327.2,322.8,311.5,1085000,1797800,1377500,1939500,924100,673200
5月 2021,311.1,340,330.4,330.4,327.7,311.6,1093700,1814900,1389400,1958400,938300,673400
6月 2021,311.2,338.9,328.5,329.4,330.7,312.3,1094300,1809000,1381200,1952500,946800,674900
7月 2021,310.1,337,328.8,327,330.5,311.5,1090300,1798800,1382700,1938000,946300,673100
8月 2021,311.3,338.8,329.7,328.9,331.1,313,1094600,1808300,1386300,1949100,947800,676300
9月 2021,315,343.7,333.3,333.9,335.9,315.4,1107500,1834900,1401600,1979200,961800,681600
10月 2021,318.7,348.6,336.1,339,340.5,318,1120700,1860800,1413500,2009400,974800,687300
11月 2021,322.3,353,343.4,342.5,349.1,320,1133300,1884300,1444200,2030200,999500,691600
12月 2021,326.5,359,351.1,347.8,354,322.8,1147800,1916400,1476300,2061600,1013500,697500
1月 2022,337,370.1,371.7,356.2,367.1,335.1,1184900,1975400,1563100,2111100,1051100,724100
2月 2022,350.5,384.8,385.8,370.6,387.1,347.2,1232300,2054300,1622300,2196500,1108400,750200
3月 2022,357.9,391.7,390,377.8,400.7,355.6,1258500,2091100,1640000,2239500,1147100,768500
4月 2022,358.3,392.6,391.6,378.4,401.1,357.3,1259900,2095600,1646700,2242600,1148400,772100
5月 2022,356.9,390.9,389.2,376.9,399,358.8,1255000,2086800,1636700,2233600,1142400,775300
6月 2022,350,384.5,374.2,372.6,389.8,352.6,1230500,2052400,1573700,2208200,1116100,762000
7月 2022,342,373.6,364.7,361.8,382.8,347.5,1202300,1994300,1533600,2144300,1096000,751000
8月 2022,334.4,365.6,352.7,355.1,372.9,340.7,1175800,1951800,1483300,2104500,1067600,736200
9月 2022,327.2,356.4,344.5,346,366,335.4,1150300,1902700,1448700,2050900,1048000,724800
10月 2022,325.3,353.8,337.9,344.4,364.5,334.5,1143800,1888400,1420700,2041100,1043600,722900
11月 2022,320.4,347.1,329.8,338.3,359,331.7,1126600,1852900,1386900,2005200,1027900,716800
12月 2022,315.8,340.8,326.3,331.7,354,328.6,1110300,1819400,1371900,1965700,1013500,710200
1月 2023,316.4,338,324.1,328.7,359.3,332.7,1112300,1804100,1362700,1948000,1028700,718900
2月 2023,321.4,343.2,327.9,334.1,368.9,337.2,1130100,1832100,1378800,1980200,1056100,728700
3月 2023,325.2,349,332.9,339.8,372.3,339.9,1143500,1863200,1399800,2014100,1066000,734500
4月 2023,332.9,358.4,342.2,348.8,379.5,347.7,1170600,1913100,1439100,2067300,1086400,751300
5月 2023,337.1,365.2,352.2,354.5,380.4,351.4,1185300,1949300,1480800,2100900,1089200,759400
6月 2023,341.5,372.2,360,360.9,385.9,354.5,1200800,1986800,1513900,2139000,1104700,766000
7月 2023,343.5,376.2,367.8,363.8,387.6,356.5,1207900,2008400,1546500,2156300,1109700,770500
8月 2023,343.1,377.2,365.7,365.3,387.7,355.9,1206200,2013500,1537900,2165400,1109900,769100
9月 2023,341.7,376.9,363.2,365.6,385.8,355.3,1201500,2012000,1527200,2166900,1104500,767700
10月 2023,339.7,373.7,360.7,362.2,385.9,356,1194500,1994800,1516600,2146500,1104900,769300
11月 2023,336.4,370.4,351.7,360.2,383.5,352.5,1182800,1977200,1479000,2135200,1098000,761800
12月 2023,331.7,366.6,353.5,355.2,376.5,347.3,1166400,1956700,1486600,2105400,1077900,750600
1月 2024,331.9,363.8,354,351.8,376,352.2,1166800,1942000,1488400,2085100,1076600,761000
2月 2024,336.2,369.2,356.6,357.5,384.4,355.8,1182000,1970900,1499700,2119100,1100600,768800
3月 2024,340.8,377.7,367.4,364.9,391.9,358.4,1198400,2016000,1544900,2162800,1122000,774500
4月 2024,343.1,381.1,369.3,368.4,396.5,360.2,1206500,2034100,1553000,2183300,1135300,778300
5月 2024,344.7,385.7,373,372.9,400.1,359.2,1212000,2058900,1568400,2210100,1145500,776200
6月 2024,343.3,385.5,370.9,372.8,397.5,357.9,1207100,2057600,1559800,2209800,1138100,773400
7月 2024,340.6,383.1,368.4,370.4,392.8,355.5,1197700,2044800,1549300,2195400,1124700,768200
8月 2024,340.1,383.1,369.6,370.1,391,355.5,1195900,2045200,1554100,2193800,1119300,768200
9月 2024,335.5,377.7,370,363.5,383.9,352.6,1179700,2015900,1556000,2154300,1099200,762000
10月 2024,333.4,374.7,367.2,360.5,387.3,350.4,1172200,1999900,1543900,2136400,1108800,757200
11月 2024,333.4,373.9,363.1,360.5,390.4,348.4,1172100,1996100,1526900,2136400,1117600,752800
12月 2024,333.2,373.7,360.5,360.7,389.3,347,1171500,1994600,1516100,2137900,1114600,749900
1月 2025,333.6,375.1,363.7,361.7,386.2,346.2,1173000,2002200,1529300,2143500,1105600,748100
