Month,totalNumber,Date
Oct-13,1256.0,2013-10
Nov-13,2230.0,2013-11
Dec-13,1512.0,2013-12
Jan-14,2172.0,2014-01
Feb-14,1080.0,2014-02
Mar-14,1419.0,2014-03
Apr-14,992.0,2014-04
May-14,1814.0,2014-05
Jun-14,1212.0,2014-06
Jul-14,2256.0,2014-07
Aug-14,1670.0,2014-08
Sep-14,1805.0,2014-09
Oct-14,2128.0,2014-10
Nov-14,1227.0,2014-11
Dec-14,1055.0,2014-12
Jan-15,1152.0,2015-01
Feb-15,1421.0,2015-02
Mar-15,3122.0,2015-03
Apr-15,1900.0,2015-04
May-15,2027.0,2015-05
Jun-15,2407.0,2015-06
Jul-15,2733.0,2015-07
Aug-15,1868.0,2015-08
Sep-15,1927.0,2015-09
Oct-15,2011.0,2015-10
Nov-15,2476.0,2015-11
Dec-15,2036.0,2015-12
Jan-16,1512.0,2016-01
Feb-16,1231.0,2016-02
Mar-16,2156.0,2016-03
Apr-16,2786.0,2016-04
May-16,2064.0,2016-05
Jun-16,1225.0,2016-06
Jul-16,1493.0,2016-07
Aug-16,2166.0,2016-08
Sep-16,1258.0,2016-09
Oct-16,1956.0,2016-10
Nov-16,3399.0,2016-11
Dec-16,1437.0,2016-12
Jan-17,1051.0,2017-01
Feb-17,2733.0,2017-02
Mar-17,1652.0,2017-03
Apr-17,1237.0,2017-04
May-17,2863.0,2017-05
Jun-17,2395.0,2017-06
Jul-17,3219.0,2017-07
Aug-17,1958.0,2017-08
Sep-17,2576.0,2017-09
Oct-17,2394.0,2017-10
Nov-17,1353.0,2017-11
Dec-17,3013.0,2017-12
Jan-18,1400.0,2018-01
Feb-18,1837.0,2018-02
Mar-18,2459.0,2018-03
Apr-18,1745.0,2018-04
May-18,2776.0,2018-05
Jun-18,2736.0,2018-06
Jul-18,2133.0,2018-07
Aug-18,3228.0,2018-08
Sep-18,1576.0,2018-09
Oct-18,2660.0,2018-10
Nov-18,1738.0,2018-11
Dec-18,2781.0,2018-12
Jan-19,2193.0,2019-01
Feb-19,1808.0,2019-02
Mar-19,1786.0,2019-03
Apr-19,5848.0,2019-04
May-19,1630.0,2019-05
Jun-19,2230.0,2019-06
Jul-19,2171.0,2019-07
Aug-19,1794.0,2019-08
Sep-19,1145.0,2019-09
Oct-19,2217.0,2019-10
Nov-19,696.0,2019-11
Dec-19,3375.0,2019-12
Jan-20,4691.0,2020-01
Feb-20,1088.0,2020-02
Mar-20,751.0,2020-03
Apr-20,1641.0,2020-04
May-20,2223.0,2020-05
Jun-20,3541.0,2020-06
Jul-20,1611.0,2020-07
Aug-20,1437.0,2020-08
Sep-20,1467.0,2020-09
Oct-20,1197.0,2020-10
Nov-20,1241.0,2020-11
Dec-20,2299.0,2020-12
Jan-21,1610.0,2021-01
Feb-21,1677.0,2021-02
Mar-21,2820.0,2021-03
Apr-21,1102.0,2021-04
May-21,1007.0,2021-05
Jun-21,1535.0,2021-06
Jul-21,2599.0,2021-07
Aug-21,2139.0,2021-08
Sep-21,2143.0,2021-09
Oct-21,1376.0,2021-10
Nov-21,4115.0,2021-11
Dec-21,3214.0,2021-12
Jan-22,837.0,2022-01
Feb-22,2346.0,2022-02
Mar-22,3530.0,2022-03
Apr-22,1710.0,2022-04
May-22,3553.0,2022-05
Jun-22,3422.0,2022-06
Jul-22,2936.0,2022-07
Aug-22,3706.0,2022-08
Sep-22,2267.0,2022-09
Oct-22,2628.0,2022-10
Nov-22,3435.0,2022-11
Dec-22,3987.0,2022-12
Jan-23,1077.0,2023-01
Feb-23,1559.0,2023-02
Mar-23,4060.0,2023-03
Apr-23,2315.0,2023-04
May-23,3807.0,2023-05
Jun-23,6074.0,2023-06
Jul-23,1490.0,2023-07
Aug-23,1384.0,2023-08
Sep-23,3553.0,2023-09
Oct-23,1863.0,2023-10
Nov-23,1594.0,2023-11
Dec-23,1931.0,2023-12
Jan-24,823.0,2024-01
Feb-24,1983.0,2024-02
Mar-24,3653.0,2024-03
Apr-24,8464.0,2024-04
May-24,825.0,2024-05
Jun-24,971.0,2024-06
Jul-24,1778.0,2024-07
Aug-24,1373.0,2024-08
Sep-24,1829.0,2024-09
Oct-24,1863.0,2024-10
Nov-24,481.0,2024-11
Dec-24,4190.0,2024-12
Jan-25,2410.0,2025-01
