Month,Number of single dwelling units,Date
Mar-16,299.0,2016-03
Apr-16,343.0,2016-04
May-16,268.0,2016-05
Jun-16,319.0,2016-06
Jul-16,284.0,2016-07
Aug-16,280.0,2016-08
Sep-16,222.0,2016-09
Oct-16,240.0,2016-10
Nov-16,279.0,2016-11
Dec-16,152.0,2016-12
Jan-17,195.0,2017-01
Feb-17,173.0,2017-02
Mar-17,245.0,2017-03
Apr-17,270.0,2017-04
May-17,290.0,2017-05
Jun-17,240.0,2017-06
Jul-17,227.0,2017-07
Aug-17,284.0,2017-08
Sep-17,257.0,2017-09
Oct-17,270.0,2017-10
Nov-17,231.0,2017-11
Dec-17,162.0,2017-12
Jan-18,188.0,2018-01
Feb-18,185.0,2018-02
Mar-18,227.0,2018-03
Apr-18,239.0,2018-04
May-18,288.0,2018-05
Jun-18,238.0,2018-06
Jul-18,229.0,2018-07
Aug-18,200.0,2018-08
Sep-18,178.0,2018-09
Oct-18,384.0,2018-10
Nov-18,121.0,2018-11
Dec-18,110.0,2018-12
Jan-19,125.0,2019-01
Feb-19,134.0,2019-02
Mar-19,161.0,2019-03
Apr-19,173.0,2019-04
May-19,159.0,2019-05
Jun-19,150.0,2019-06
Jul-19,158.0,2019-07
Aug-19,135.0,2019-08
Sep-19,106.0,2019-09
Oct-19,121.0,2019-10
Nov-19,104.0,2019-11
Dec-19,104.0,2019-12
Jan-20,97.0,2020-01
Feb-20,147.0,2020-02
Mar-20,107.0,2020-03
Apr-20,107.0,2020-04
May-20,135.0,2020-05
Jun-20,154.0,2020-06
Jul-20,118.0,2020-07
Aug-20,118.0,2020-08
Sep-20,114.0,2020-09
Oct-20,102.0,2020-10
Nov-20,110.0,2020-11
Dec-20,117.0,2020-12
Jan-21,79.0,2021-01
Feb-21,103.0,2021-02
Mar-21,132.0,2021-03
Apr-21,73.0,2021-04
May-21,107.0,2021-05
Jun-21,128.0,2021-06
Jul-21,90.0,2021-07
Aug-21,82.0,2021-08
Sep-21,112.0,2021-09
Oct-21,106.0,2021-10
Nov-21,111.0,2021-11
Dec-21,78.0,2021-12
Jan-22,103.0,2022-01
Feb-22,125.0,2022-02
Mar-22,132.0,2022-03
Apr-22,115.0,2022-04
May-22,107.0,2022-05
Jun-22,133.0,2022-06
Jul-22,130.0,2022-07
Aug-22,147.0,2022-08
Sep-22,123.0,2022-09
Oct-22,121.0,2022-10
Nov-22,91.0,2022-11
Dec-22,53.0,2022-12
Jan-23,107.0,2023-01
Feb-23,93.0,2023-02
Mar-23,91.0,2023-03
Apr-23,100.0,2023-04
May-23,102.0,2023-05
Jun-23,117.0,2023-06
Jul-23,74.0,2023-07
Aug-23,105.0,2023-08
Sep-23,79.0,2023-09
Oct-23,62.0,2023-10
Nov-23,61.0,2023-11
Dec-23,26.0,2023-12
Jan-24,80.0,2024-01
Feb-24,110.0,2024-02
Mar-24,104.0,2024-03
Apr-24,92.0,2024-04
May-24,116.0,2024-05
Jun-24,90.0,2024-06
Jul-24,113.0,2024-07
Aug-24,103.0,2024-08
Sep-24,79.0,2024-09
Oct-24,108.0,2024-10
Nov-24,59.0,2024-11
Dec-24,67.0,2024-12
Jan-25,96.0,2025-01
