Month,Number of apartment units,Date
Dec-18,2493.0,2018-12
Jan-19,1787.0,2019-01
Feb-19,1524.0,2019-02
Mar-19,1415.0,2019-03
Apr-19,3782.0,2019-04
May-19,1305.0,2019-05
Jun-19,1922.0,2019-06
Jul-19,1574.0,2019-07
Aug-19,1482.0,2019-08
Sep-19,819.0,2019-09
Oct-19,1946.0,2019-10
Nov-19,335.0,2019-11
Dec-19,2618.0,2019-12
Jan-20,3938.0,2020-01
Feb-20,873.0,2020-02
Mar-20,580.0,2020-03
Apr-20,1457.0,2020-04
May-20,1942.0,2020-05
Jun-20,3027.0,2020-06
Jul-20,1266.0,2020-07
Aug-20,1203.0,2020-08
Sep-20,1148.0,2020-09
Oct-20,806.0,2020-10
Nov-20,948.0,2020-11
Dec-20,1795.0,2020-12
Jan-21,1301.0,2021-01
Feb-21,1226.0,2021-02
Mar-21,1828.0,2021-03
Apr-21,838.0,2021-04
May-21,735.0,2021-05
Jun-21,1226.0,2021-06
Jul-21,2275.0,2021-07
Aug-21,1789.0,2021-08
Sep-21,1919.0,2021-09
Oct-21,900.0,2021-10
Nov-21,3892.0,2021-11
Dec-21,2864.0,2021-12
Jan-22,680.0,2022-01
Feb-22,1973.0,2022-02
Mar-22,3114.0,2022-03
Apr-22,1307.0,2022-04
May-22,2994.0,2022-05
Jun-22,2983.0,2022-06
Jul-22,2657.0,2022-07
Aug-22,2610.0,2022-08
Sep-22,1958.0,2022-09
Oct-22,2400.0,2022-10
Nov-22,3220.0,2022-11
Dec-22,3872.0,2022-12
Jan-23,868.0,2023-01
Feb-23,1418.0,2023-02
Mar-23,3525.0,2023-03
Apr-23,2094.0,2023-04
May-23,3458.0,2023-05
Jun-23,5509.0,2023-06
Jul-23,1242.0,2023-07
Aug-23,1078.0,2023-08
Sep-23,2825.0,2023-09
Oct-23,1702.0,2023-10
Nov-23,1418.0,2023-11
Dec-23,1843.0,2023-12
Jan-24,513.0,2024-01
Feb-24,1702.0,2024-02
Mar-24,3390.0,2024-03
Apr-24,7638.0,2024-04
May-24,613.0,2024-05
Jun-24,779.0,2024-06
Jul-24,1385.0,2024-07
Aug-24,1054.0,2024-08
Sep-24,1611.0,2024-09
Oct-24,1696.0,2024-10
Nov-24,359.0,2024-11
Dec-24,3581.0,2024-12
Jan-25,2038.0,2025-01
