Month,Number of Institutional and Government Building Permits,Date
Dec-13,18742.0,2013-12
Jan-14,24641.0,2014-01
Feb-14,28717.0,2014-02
Mar-14,50840.0,2014-03
Apr-14,5156.0,2014-04
May-14,47704.0,2014-05
Jun-14,21084.0,2014-06
Jul-14,29404.0,2014-07
Aug-14,8563.0,2014-08
Sep-14,7467.0,2014-09
Oct-14,324961.0,2014-10
Nov-14,64463.0,2014-11
Dec-14,79187.0,2014-12
Jan-15,4637.0,2015-01
Feb-15,25525.0,2015-02
Mar-15,73144.0,2015-03
Apr-15,75682.0,2015-04
May-15,38052.0,2015-05
Jun-15,34317.0,2015-06
Jul-15,50730.0,2015-07
Aug-15,87778.0,2015-08
Sep-15,16226.0,2015-09
Oct-15,16248.0,2015-10
Nov-15,35807.0,2015-11
Dec-15,18458.0,2015-12
Jan-16,15057.0,2016-01
Feb-16,19350.0,2016-02
Mar-16,16796.0,2016-03
Apr-16,20253.0,2016-04
May-16,58169.0,2016-05
Jun-16,104483.0,2016-06
Jul-16,46451.0,2016-07
Aug-16,19820.0,2016-08
Sep-16,12814.0,2016-09
Oct-16,22382.0,2016-10
Nov-16,40006.0,2016-11
Dec-16,23680.0,2016-12
Jan-17,35372.0,2017-01
Feb-17,28332.0,2017-02
Mar-17,10969.0,2017-03
Apr-17,162427.0,2017-04
May-17,14446.0,2017-05
Jun-17,49004.0,2017-06
Jul-17,65940.0,2017-07
Aug-17,48774.0,2017-08
Sep-17,52143.0,2017-09
Oct-17,28688.0,2017-10
Nov-17,123343.0,2017-11
Dec-17,28283.0,2017-12
Jan-18,15812.0,2018-01
Feb-18,53010.0,2018-02
Mar-18,36037.0,2018-03
Apr-18,40862.0,2018-04
May-18,18544.0,2018-05
Jun-18,22195.0,2018-06
Jul-18,15688.0,2018-07
Aug-18,137852.0,2018-08
Sep-18,124673.0,2018-09
Oct-18,117085.0,2018-10
Nov-18,89322.0,2018-11
Dec-18,61791.0,2018-12
Jan-19,26003.0,2019-01
Feb-19,55620.0,2019-02
Mar-19,141148.0,2019-03
Apr-19,55356.0,2019-04
May-19,157030.0,2019-05
Jun-19,48838.0,2019-06
Jul-19,75871.0,2019-07
Aug-19,20394.0,2019-08
Sep-19,19079.0,2019-09
Oct-19,37275.0,2019-10
Nov-19,53544.0,2019-11
Dec-19,15796.0,2019-12
Jan-20,90740.0,2020-01
Feb-20,36729.0,2020-02
Mar-20,114000.0,2020-03
Apr-20,67101.0,2020-04
May-20,28467.0,2020-05
Jun-20,134783.0,2020-06
Jul-20,26642.0,2020-07
Aug-20,27576.0,2020-08
Sep-20,12516.0,2020-09
Oct-20,74845.0,2020-10
Nov-20,153177.0,2020-11
Dec-20,24557.0,2020-12
Jan-21,30164.0,2021-01
Feb-21,18442.0,2021-02
Mar-21,44837.0,2021-03
Apr-21,29611.0,2021-04
May-21,93899.0,2021-05
Jun-21,199768.0,2021-06
Jul-21,22832.0,2021-07
Aug-21,21446.0,2021-08
Sep-21,27612.0,2021-09
Oct-21,13958.0,2021-10
Nov-21,12329.0,2021-11
Dec-21,50863.0,2021-12
Jan-22,62581.0,2022-01
Feb-22,1552425.0,2022-02
Mar-22,86025.0,2022-03
Apr-22,15645.0,2022-04
May-22,106127.0,2022-05
Jun-22,27140.0,2022-06
Jul-22,103589.0,2022-07
Aug-22,24517.0,2022-08
Sep-22,37981.0,2022-09
Oct-22,24438.0,2022-10
Nov-22,22775.0,2022-11
Dec-22,140334.0,2022-12
Jan-23,29215.0,2023-01
Feb-23,20207.0,2023-02
Mar-23,67484.0,2023-03
Apr-23,38140.0,2023-04
May-23,24590.0,2023-05
Jun-23,120278.0,2023-06
Jul-23,394510.0,2023-07
Aug-23,303652.0,2023-08
Sep-23,61222.0,2023-09
Oct-23,22667.0,2023-10
Nov-23,32863.0,2023-11
Dec-23,28997.0,2023-12
Jan-24,264854.0,2024-01
Feb-24,11816.0,2024-02
Mar-24,65261.0,2024-03
Apr-24,218321.0,2024-04
May-24,26421.0,2024-05
Jun-24,21419.0,2024-06
Jul-24,327952.0,2024-07
Aug-24,194432.0,2024-08
Sep-24,29766.0,2024-09
Oct-24,49845.0,2024-10
Nov-24,105233.0,2024-11
Dec-24,248382.0,2024-12
Jan-25,84656.0,2025-01
