Unnamed: 0,Address,Price,Price Type,Latitude,Longitude,Beds,Baths,Date,Neighborhood,Beds_Category,Price Tag
78,"521 20th Avenue, Vancouver",2798000.0,For Sale,49.2533903,-123.1155343,3.0,3.0,10-Mar-25,South Cambie,3.0,Over priced
79,"7339 Burnham Court, Burnaby",2888000.0,For Sale,49.2602963,-122.9464786,4.0,3.0,10-Mar-25,Burnaby,4+,Over priced
80,"7380 Parkwood Drive, Surrey",1275000.0,For Sale,49.1371436,-122.8659519,7.0,4.0,10-Mar-25,Surrey,4+,Fair price
83,"2 - 5115 Buxton Street, Burnaby",2499000.0,For Sale,49.2346533,-122.9902481,5.0,6.0,10-Mar-25,Burnaby,4+,Fair price
84,"411 - 4933 Clarendon Street, Vancouver",898000.0,For Sale,49.2394981,-123.0560367,2.0,2.0,10-Mar-25,Renfrew-Collingwood,2.0,Over priced
85,"405 - 3639 16 Avenue, Vancouver",1780000.0,For Sale,49.2581209,-123.1848001,2.0,3.0,10-Mar-25,West Point Grey,2.0,Lower priced
86,"106 - 1450 Laburnum Street, Vancouver",648000.0,For Sale,49.2730282,-123.151068,1.0,1.0,10-Mar-25,Kitsilano,1.0,Lower priced
87,"2209 - 3663 Crowley Drive, Vancouver",749000.0,For Sale,49.2353569,-123.0271018,2.0,2.0,10-Mar-25,Renfrew-Collingwood,2.0,Fair price
88,"301 - 7139 18 Avenue, Burnaby",619000.0,For Sale,49.2154573,-122.9552799,1.0,1.0,10-Mar-25,Burnaby,1.0,Fair price
89,"25 - 16760 61 Avenue, Surrey",849000.0,For Sale,49.1120206,-122.7593519,2.0,4.0,10-Mar-25,Surrey,2.0,Over priced
90,"3288 23rd Avenue, Vancouver",3998000.0,For Sale,49.2517595,-123.1778099,4.0,5.0,10-Mar-25,Dunbar-Southlands,4+,Fair price
91,"5538 184 Street, Surrey",2889000.0,For Sale,49.1029426,-122.7122965,5.0,3.0,10-Mar-25,Surrey,4+,Over priced
93,"210 - 615 Cottonwood Avenue, Coquitlam",788000.0,For Sale,49.259002,-122.8855243,2.0,2.0,10-Mar-25,Coquitlam,2.0,Fair price
94,"1708 - 9133 Hemlock Drive, Richmond",848000.0,For Sale,49.1672621,-123.1230903,2.0,2.0,10-Mar-25,Richmond,2.0,Fair price
95,"1602 - 1495 Richards Street, Vancouver",1399000.0,For Sale,49.2736071,-123.1281418,2.0,2.0,10-Mar-25,Downtown,2.0,Fair price
96,"1 - 9131 Williams Road, Richmond",1439900.0,For Sale,49.1409669,-123.1231684,3.0,3.0,10-Mar-25,Richmond,3.0,Fair price
97,"1010 24th Avenue, Vancouver",884000.0,For Sale,49.248907,-123.0835355,1.0,1.0,10-Mar-25,Kensington-Cedar Cottage,1.0,Fair price
98,"7361 Liard Place, Vancouver",799000.0,For Sale,49.2180292,-123.0258608,3.0,1.0,10-Mar-25,Killarney,3.0,Fair price
101,"15423 Madrona Drive, Surrey",1288888.0,For Sale,49.0413322,-122.7951652,2.0,2.0,10-Mar-25,Surrey,2.0,Over priced
102,"15869 Yorkshire Place, Surrey",799000.0,For Sale,49.0411212,-122.7829527,3.0,2.0,10-Mar-25,Surrey,3.0,Lower priced
103,"4570 Woodgreen Court, West Vancouver",3598000.0,For Sale,49.35222,-123.2443171,3.0,2.0,10-Mar-25,West Vancouver,3.0,Fair price
104,"7626 Hedley Avenue, Burnaby",2990000.0,For Sale,49.2143892,-122.9669805,7.0,5.0,10-Mar-25,Burnaby,4+,Over priced
105,"2146 7th Avenue, Vancouver",1979000.0,For Sale,49.2639087,-123.0609785,2.0,1.0,10-Mar-25,Grandview-Woodland,2.0,Over priced
106,"15556 96b Avenue, Surrey",1199900.0,For Sale,49.1775983,-122.7912528,3.0,2.0,10-Mar-25,Surrey,3.0,Fair price
107,"906 - 6351 Buswell Street, Richmond",769000.0,For Sale,49.1679288,-123.1344812,2.0,2.0,10-Mar-25,Richmond,2.0,Fair price
108,"3002 - 7088 18th Avenue, Burnaby",799800.0,For Sale,49.2132822,-122.9566475,2.0,2.0,10-Mar-25,Burnaby,2.0,Fair price
109,"145 - 2035 Glenaire Drive, North Vancouver",1199900.0,For Sale,49.3279976,-123.1218647,3.0,2.0,10-Mar-25,others,3.0,Lower priced
110,"709 - 2770 Sophia Street, Vancouver",874900.0,For Sale,49.2603935,-123.0976785,1.0,1.0,10-Mar-25,Mount Pleasant,1.0,Over priced
111,"4101 - 2388 Madison Avenue, Burnaby",1288000.0,For Sale,49.2628193,-123.0084224,2.0,2.0,10-Mar-25,Burnaby,2.0,Over priced
112,"111 - 3660 Vanness Avenue, Vancouver",449900.0,For Sale,49.234974,-123.025186,0.0,1.0,10-Mar-25,Renfrew-Collingwood,0.0,Fair price
113,"1301 - 4880 Lougheed Highway, Burnaby",699000.0,For Sale,49.2652118,-122.9944925,1.0,1.0,10-Mar-25,Burnaby,1.0,Fair price
114,"3105 - 1283 Howe Street, Vancouver",869000.0,For Sale,49.2771293,-123.1286393,2.0,2.0,10-Mar-25,Downtown,2.0,Fair price
115,"52 - 9566 Tomicki Avenue, Richmond",1148000.0,For Sale,49.180015,-123.1165448,3.0,3.0,10-Mar-25,Richmond,3.0,Fair price
116,"312 - 6420 Buswell Street, Richmond",259000.0,For Sale,49.1672857,-123.1327593,1.0,1.0,10-Mar-25,Richmond,1.0,Lower priced
117,"205 - 13931 Fraser Highway, Surrey",489800.0,For Sale,49.1800882,-122.8369062,1.0,1.0,10-Mar-25,Surrey,1.0,Fair price
118,"5517 188a Street, Surrey",2169999.0,For Sale,49.102583,-122.7008176,7.0,6.0,10-Mar-25,Surrey,4+,Over priced
119,"11240 Granville Avenue, Richmond",2990000.0,For Sale,49.1625486,-123.0990856,7.0,5.0,10-Mar-25,Richmond,4+,Over priced
120,"7568 149 Street, Surrey",2450000.0,For Sale,49.140433,-122.80987,11.0,8.0,10-Mar-25,Surrey,4+,Over priced
121,"12669 96 Avenue, Surrey",1350000.0,For Sale,49.1774044,-122.8716309,3.0,2.0,10-Mar-25,Surrey,3.0,Over priced
122,"1105 - 1601 Quebec Street, Vancouver",1750000.0,For Sale,49.2715566,-123.1027944,2.0,2.0,10-Mar-25,Mount Pleasant,2.0,Over priced
123,"5531 Slocan Street, Vancouver",1799000.0,For Sale,49.2346069,-123.054594,4.0,4.0,10-Mar-25,Renfrew-Collingwood,4+,Fair price
124,"1607 - 1495 Richards Street, Vancouver",729900.0,For Sale,49.2736071,-123.1281418,1.0,1.0,10-Mar-25,Downtown,1.0,Fair price
125,"110 - 8391 Bennett Road, Richmond",299999.0,For Sale,49.1613272,-123.1313972,1.0,1.0,10-Mar-25,Richmond,1.0,Lower priced
126,"312 - 9880 Manchester Drive, Burnaby",515000.0,For Sale,49.2458546,-122.8984126,2.0,1.0,10-Mar-25,Burnaby,2.0,Lower priced
127,"1986 8th Avenue, Vancouver",1799900.0,For Sale,49.2630129,-123.0643121,3.0,2.0,10-Mar-25,Grandview-Woodland,3.0,Fair price
128,"14163 60a Avenue, Surrey",1999000.0,For Sale,49.1130484,-122.8300715,7.0,7.0,10-Mar-25,Surrey,4+,Fair price
129,"2932 Brixham Road, North Vancouver",1950000.0,For Sale,49.315419,-122.993188,4.0,3.0,10-Mar-25,others,4+,Lower priced
130,"1108 - 63 Keefer Place, Vancouver",849800.0,For Sale,49.2797904,-123.1063697,2.0,2.0,10-Mar-25,Downtown,2.0,Fair price
131,"1205 - 3280 Corvette Way, Richmond",1449000.0,For Sale,49.1897287,-123.133568,3.0,3.0,10-Mar-25,Richmond,3.0,Fair price
132,"402 - 1864 Frances Street, Vancouver",585000.0,For Sale,49.2790464,-123.066387,1.0,1.0,10-Mar-25,Grandview-Woodland,1.0,Fair price
133,"305 - 2910 Ontario Street, Vancouver",699000.0,For Sale,49.2590759,-123.1046631,1.0,1.0,10-Mar-25,Mount Pleasant,1.0,Fair price
134,"101 - 1100 7th Avenue, Vancouver",729000.0,For Sale,49.2642848,-123.0812243,1.0,1.0,10-Mar-25,Mount Pleasant,1.0,Fair price
135,"501 - 5619 Cedarbridge Way, Richmond",628000.0,For Sale,49.1744139,-123.1425143,1.0,1.0,10-Mar-25,Richmond,1.0,Fair price
136,"807 - 2950 Panorama Drive, Coquitlam",1010000.0,For Sale,49.2979922,-122.8045264,2.0,2.0,10-Mar-25,Coquitlam,2.0,Over priced
137,"589 7th Avenue, Vancouver",1199800.0,For Sale,49.2645154,-123.0912905,2.0,2.0,10-Mar-25,Mount Pleasant,2.0,Fair price
138,"4410 - 4890 Lougheed Highway, Burnaby",699000.0,For Sale,49.2649736,-122.9928699,1.0,1.0,10-Mar-25,Burnaby,1.0,Fair price
139,"704 - 235 Keith Road, West Vancouver",615000.0,For Sale,49.3311031,-123.1246019,1.0,1.0,10-Mar-25,West Vancouver,1.0,Lower priced
140,"3619 Dalebright Drive, Burnaby",2899800.0,For Sale,49.251406,-122.9209946,5.0,5.0,10-Mar-25,Burnaby,4+,Over priced
141,"1747 37th Avenue, Vancouver",1750000.0,For Sale,49.2369416,-123.0700803,4.0,4.0,10-Mar-25,Kensington-Cedar Cottage,4+,Fair price
142,"1090 Handsworth Road, North Vancouver",2598000.0,For Sale,49.3528922,-123.1038992,5.0,4.0,10-Mar-25,others,4+,Fair price
143,"1905 - 4465 Juneau Street, Burnaby",859900.0,For Sale,49.2637587,-123.0044781,2.0,2.0,10-Mar-25,Burnaby,2.0,Fair price
144,"511 - 3538 Sawmill Crescent, Vancouver",649900.0,For Sale,49.2056788,-123.0294639,1.0,1.0,10-Mar-25,Killarney,1.0,Over priced
145,"2208 - 2311 Beta Avenue, Burnaby",678000.0,For Sale,49.2632359,-122.9989634,1.0,1.0,10-Mar-25,Burnaby,1.0,Fair price
146,"612 - 7708 Alderbridge Way, Richmond",583000.0,For Sale,49.1749456,-123.1430217,1.0,1.0,10-Mar-25,Richmond,1.0,Lower priced
147,"205 - 1189 Westwood Street, Coquitlam",598000.0,For Sale,49.2839,-122.78915,2.0,2.0,10-Mar-25,Coquitlam,2.0,Lower priced
148,"1709 - 13655 Fraser Highway, Surrey",659900.0,For Sale,49.1807963,-122.8435081,2.0,2.0,10-Mar-25,Surrey,2.0,Fair price
149,"203 - 1355 Harwood Street, Vancouver",899000.0,For Sale,49.282108,-123.1375594,2.0,2.0,10-Mar-25,West End,2.0,Fair price
151,"3405 24th Avenue, Vancouver",2699000.0,For Sale,49.2489915,-123.0308704,5.0,5.0,10-Mar-25,Renfrew-Collingwood,4+,Fair price
152,"2166 54th Avenue, Vancouver",3598000.0,For Sale,49.2217449,-123.15714,6.0,2.0,10-Mar-25,Kerrisdale,4+,Fair price
153,"4987 Hoy Street, Vancouver",1548888.0,For Sale,49.2395785,-123.025482,3.0,3.0,10-Mar-25,Renfrew-Collingwood,3.0,Fair price
154,"1125 Groveland Court, West Vancouver",4839000.0,For Sale,49.3524416,-123.1463629,3.0,2.0,10-Mar-25,West Vancouver,3.0,Over priced
156,"1 - 5115 Buxton Street, Burnaby",2499000.0,For Sale,49.2346533,-122.9902481,3.0,3.0,10-Mar-25,Burnaby,3.0,Over priced
157,"1006 - 1033 Marinaside Crescent, Vancouver",1750000.0,For Sale,49.273476,-123.1163516,2.0,2.0,10-Mar-25,Downtown,2.0,Over priced
158,"PH2 - 668 16th Avenue, Vancouver",990000.0,For Sale,49.2567311,-123.1191076,2.0,2.0,10-Mar-25,South Cambie,2.0,Lower priced
159,"3509 - 1178 Heffley Crescent, Coquitlam",788000.0,For Sale,49.2813477,-122.7921325,2.0,2.0,10-Mar-25,Coquitlam,2.0,Fair price
160,"413 - 7579 16th Street, Burnaby",658800.0,For Sale,49.2134939,-122.9494678,1.0,1.0,10-Mar-25,Burnaby,1.0,Fair price
161,"112 - 3600 Windcrest Drive, North Vancouver",1270000.0,For Sale,49.3062655,-122.9701235,2.0,3.0,10-Mar-25,others,2.0,Fair price
162,"1300 - 8160 Mcmyn Way, Richmond",1810900.0,For Sale,49.190062,-123.1324295,4.0,3.0,10-Mar-25,Richmond,4+,Fair price
163,"104 - 1150 29th Street, North Vancouver",715000.0,For Sale,49.335919,-123.0424719,1.0,1.0,10-Mar-25,others,1.0,Fair price
164,"14 - 7140 132 Street, Surrey",899000.0,For Sale,49.1323162,-122.8555006,4.0,4.0,10-Mar-25,Surrey,4+,Lower priced
165,"307 - 1266 13th Avenue, Vancouver",684900.0,For Sale,49.2594939,-123.132921,1.0,1.0,10-Mar-25,Fairview,1.0,Lower priced
166,"7251 Union Street, Burnaby",3699000.0,For Sale,49.2780281,-122.9519432,7.0,7.0,10-Mar-25,Burnaby,4+,Over priced
167,"41 171 Street, Surrey",1399000.0,For Sale,49.0028835,-122.7501963,7.0,4.0,10-Mar-25,Surrey,4+,Fair price
170,"801 - 4118 Dawson Street, Burnaby",559000.0,For Sale,49.2643041,-123.013727,1.0,1.0,10-Mar-25,Burnaby,1.0,Lower priced
171,"601 - 1325 Rolston Street, Vancouver",538000.0,For Sale,49.2756464,-123.1278677,1.0,1.0,10-Mar-25,Downtown,1.0,Lower priced
172,"1600 - 8155 Capstan Way, Richmond",2922900.0,For Sale,49.1892807,-123.1336464,4.0,4.0,10-Mar-25,Richmond,4+,Over priced
173,"1603 - 4168 Lougheed Highway, Burnaby",729000.0,For Sale,49.2660541,-123.0118677,2.0,1.0,10-Mar-25,Burnaby,2.0,Lower priced
174,"410 - 215 33rd Avenue, Vancouver",1129888.0,For Sale,49.2407866,-123.1010646,2.0,1.0,10-Mar-25,Riley Park,2.0,Fair price
175,"7153 Paulus Court, Burnaby",2250000.0,For Sale,49.2662427,-122.9552031,2.0,2.0,10-Mar-25,Burnaby,2.0,Over priced
176,"5747 Newton Wynd, Vancouver",31770000.0,For Sale,49.2762816,-123.2476897,4.0,2.0,10-Mar-25,others,4+,Over priced
177,"4634 2nd Avenue, Vancouver",8880000.0,For Sale,49.2711221,-123.2132724,9.0,12.0,10-Mar-25,West Point Grey,4+,Over priced
179,"810 - 8155 Capstan Way, Richmond",1229900.0,For Sale,49.1892807,-123.1336464,4.0,4.0,10-Mar-25,Richmond,4+,Lower priced
180,"303 - 28 Powell Street, Vancouver",698000.0,For Sale,49.2831481,-123.1034336,2.0,2.0,10-Mar-25,Downtown,2.0,Lower priced
181,"2503 - 1155 Homer Street, Vancouver",1525000.0,For Sale,49.2755506,-123.1232646,2.0,2.0,10-Mar-25,Downtown,2.0,Over priced
182,"2306 - 977 Mainland Street, Vancouver",668000.0,For Sale,49.2772935,-123.1183606,1.0,1.0,10-Mar-25,Downtown,1.0,Fair price
183,"12 - 6965 Hastings Street, Burnaby",570000.0,For Sale,49.2807742,-122.9599762,1.0,1.0,10-Mar-25,Burnaby,1.0,Lower priced
184,"121 - 8460 Ackroyd Road, Richmond",434800.0,For Sale,49.1715776,-123.1301517,1.0,1.0,10-Mar-25,Richmond,1.0,Lower priced
185,"1606 - 1045 Austin Avenue, Coquitlam",590000.0,For Sale,49.2493707,-122.8642772,1.0,1.0,10-Mar-25,Coquitlam,1.0,Fair price
186,"607 - 8160 Mcmyn Way, Richmond",1124900.0,For Sale,49.190062,-123.1324295,2.0,2.0,10-Mar-25,Richmond,2.0,Over priced
187,"1440 30th Street, West Vancouver",3780000.0,For Sale,49.3407483,-123.1991454,4.0,3.0,10-Mar-25,West Vancouver,4+,Fair price
188,"1170 Kendal Place, North Vancouver",2788000.0,For Sale,49.3465397,-123.107135,2.0,4.0,10-Mar-25,others,2.0,Over priced
189,"6566 Churchill Street, Vancouver",8680000.0,For Sale,49.2263039,-123.1413502,4.0,3.0,10-Mar-25,Kerrisdale,4+,Over priced
190,"40 Sea Avenue, Burnaby",1599900.0,For Sale,49.2837164,-122.9791193,7.0,8.0,10-Mar-25,Burnaby,4+,Lower priced
192,"1607 - 1148 Heffley Crescent, Coquitlam",760000.0,For Sale,49.28051,-122.79214,2.0,2.0,10-Mar-25,Coquitlam,2.0,Fair price
193,"5422 Norfolk Street, Burnaby",1099000.0,For Sale,49.2546999,-122.9853469,2.0,2.0,10-Mar-25,Burnaby,2.0,Over priced
194,"50 - 6100 Woodwards Road, Richmond",1388000.0,For Sale,49.1432912,-123.1581192,3.0,3.0,10-Mar-25,Richmond,3.0,Fair price
195,"302 - 2121 W 38th Avenue, Vancouver",998000.0,For Sale,49.2375887,-123.1563859,3.0,2.0,10-Mar-25,Arbutus Ridge,3.0,Lower priced
196,"600 - 8155 Capstan Way, Richmond",1166900.0,For Sale,49.1892807,-123.1336464,2.0,2.0,10-Mar-25,Richmond,2.0,Over priced
198,"5 - 8250 158 Street, Surrey",1198000.0,For Sale,49.1527417,-122.7842363,3.0,3.0,10-Mar-25,Surrey,3.0,Fair price
200,"408 - 13740 75a Avenue, Surrey",399999.0,For Sale,49.1387418,-122.8411936,1.0,1.0,10-Mar-25,Surrey,1.0,Lower priced
201,"708 Austin Avenue, Coquitlam",3188888.0,For Sale,49.2487793,-122.8821694,8.0,8.0,10-Mar-25,Coquitlam,4+,Over priced
202,"2638 Queens Avenue, West Vancouver",10980000.0,For Sale,49.3423326,-123.1871872,6.0,9.0,10-Mar-25,West Vancouver,4+,Over priced
203,"3320 Johnson Avenue, Richmond",2438000.0,For Sale,49.1681704,-123.1908603,4.0,4.0,10-Mar-25,Richmond,4+,Fair price
208,"5949 Sherbrooke Street, Vancouver",2188000.0,For Sale,49.2304025,-123.0816252,5.0,3.0,10-Mar-25,Sunset,4+,Fair price
209,"3301 - 6098 Station Street, Burnaby",699000.0,For Sale,49.2275577,-123.0028731,2.0,2.0,10-Mar-25,Burnaby,2.0,Lower priced
210,"212 - 8120 Colonial Drive, Richmond",379900.0,For Sale,49.1535312,-123.170696,1.0,1.0,10-Mar-25,Richmond,1.0,Lower priced
211,"1106 - 1688 Pullman Porter Street, Vancouver",1999800.0,For Sale,49.2706831,-123.1038068,1.0,1.0,10-Mar-25,Mount Pleasant,1.0,Over priced
212,"1050 Como Lake Avenue, Coquitlam",1600000.0,For Sale,49.2632224,-122.8626637,4.0,2.0,10-Mar-25,Coquitlam,4+,Fair price
213,"139 - 3880 Westminster Highway, Richmond",1368000.0,For Sale,49.1690334,-123.1831438,1.0,1.0,10-Mar-25,Richmond,1.0,Over priced
