Category,Date,CPI_Value
Shelter,2018-01,120.9
All-items excluding food and energy,2018-01,120.0
All-items,2018-02,127.0
Shelter,2018-02,121.1
All-items excluding food and energy,2018-02,121.0
All-items,2018-03,127.4
Shelter,2018-03,121.3
All-items excluding food and energy,2018-03,121.4
All-items,2018-04,127.7
Shelter,2018-04,121.9
All-items excluding food and energy,2018-04,121.3
All-items,2018-05,128.4
Shelter,2018-05,122.2
All-items excluding food and energy,2018-05,121.9
All-items,2018-06,128.6
Shelter,2018-06,122.4
All-items excluding food and energy,2018-06,122.2
All-items,2018-07,129.7
Shelter,2018-07,122.6
All-items excluding food and energy,2018-07,123.4
All-items,2018-08,129.6
Shelter,2018-08,122.7
All-items excluding food and energy,2018-08,123.3
All-items,2018-09,128.9
Shelter,2018-09,123.0
All-items excluding food and energy,2018-09,122.6
All-items,2018-10,129.4
Shelter,2018-10,123.8
All-items excluding food and energy,2018-10,123.2
All-items,2018-11,128.9
Shelter,2018-11,124.0
All-items excluding food and energy,2018-11,122.8
All-items,2018-12,129.0
Shelter,2018-12,124.0
All-items excluding food and energy,2018-12,123.0
All-items,2019-01,129.1
Shelter,2019-01,124.7
All-items excluding food and energy,2019-01,123.0
All-items,2019-02,129.8
Shelter,2019-02,125.0
All-items excluding food and energy,2019-02,123.8
All-items,2019-03,130.7
Shelter,2019-03,125.4
All-items excluding food and energy,2019-03,124.2
All-items,2019-04,131.2
Shelter,2019-04,125.2
All-items excluding food and energy,2019-04,124.2
All-items,2019-05,131.8
Shelter,2019-05,125.2
All-items excluding food and energy,2019-05,124.9
All-items,2019-06,131.9
Shelter,2019-06,125.3
All-items excluding food and energy,2019-06,125.4
All-items,2019-07,132.4
Shelter,2019-07,125.1
All-items excluding food and energy,2019-07,125.7
All-items,2019-08,132.2
Shelter,2019-08,125.1
All-items excluding food and energy,2019-08,125.6
All-items,2019-09,132.0
Shelter,2019-09,125.4
All-items excluding food and energy,2019-09,125.2
All-items,2019-10,132.2
Shelter,2019-10,126.0
All-items excluding food and energy,2019-10,125.3
All-items,2019-11,131.8
Shelter,2019-11,126.2
All-items excluding food and energy,2019-11,125.1
All-items,2019-12,131.7
Shelter,2019-12,126.0
All-items excluding food and energy,2019-12,125.1
All-items,2020-01,132.1
Shelter,2020-01,126.4
All-items excluding food and energy,2020-01,125.1
All-items,2020-02,132.9
Shelter,2020-02,126.8
All-items excluding food and energy,2020-02,126.1
All-items,2020-03,132.3
Shelter,2020-03,127.0
All-items excluding food and energy,2020-03,126.2
All-items,2020-04,131.2
Shelter,2020-04,126.7
All-items excluding food and energy,2020-04,125.7
All-items,2020-05,131.5
Shelter,2020-05,126.1
All-items excluding food and energy,2020-05,125.5
All-items,2020-06,132.6
Shelter,2020-06,126.3
All-items excluding food and energy,2020-06,126.2
All-items,2020-07,132.6
Shelter,2020-07,126.1
All-items excluding food and energy,2020-07,125.9
All-items,2020-08,132.4
Shelter,2020-08,126.5
All-items excluding food and energy,2020-08,125.9
All-items,2020-09,132.5
Shelter,2020-09,127.4
All-items excluding food and energy,2020-09,126.1
All-items,2020-10,132.9
Shelter,2020-10,128.8
All-items excluding food and energy,2020-10,126.6
All-items,2020-11,133.3
Shelter,2020-11,129.2
All-items excluding food and energy,2020-11,127.0
All-items,2020-12,132.8
Shelter,2020-12,128.9
All-items excluding food and energy,2020-12,126.3
All-items,2021-01,133.6
Shelter,2021-01,129.3
All-items excluding food and energy,2021-01,126.8
All-items,2021-02,134.1
Shelter,2021-02,129.1
All-items excluding food and energy,2021-02,127.0
All-items,2021-03,134.9
Shelter,2021-03,130.6
All-items excluding food and energy,2021-03,127.8
All-items,2021-04,135.2
Shelter,2021-04,131.2
All-items excluding food and energy,2021-04,128.0
All-items,2021-05,135.1
Shelter,2021-05,131.5
All-items excluding food and energy,2021-05,127.5
All-items,2021-06,135.8
Shelter,2021-06,132.7
All-items excluding food and energy,2021-06,128.1
All-items,2021-07,136.7
Shelter,2021-07,133.1
All-items excluding food and energy,2021-07,128.8
All-items,2021-08,137.0
Shelter,2021-08,133.4
All-items excluding food and energy,2021-08,129.2
All-items,2021-09,137.2
Shelter,2021-09,134.0
All-items excluding food and energy,2021-09,129.4
All-items,2021-10,137.9
Shelter,2021-10,135.2
All-items excluding food and energy,2021-10,130.0
All-items,2021-11,138.1
Shelter,2021-11,135.7
All-items excluding food and energy,2021-11,130.0
All-items,2021-12,138.0
Shelter,2021-12,136.4
All-items excluding food and energy,2021-12,130.0
All-items,2022-01,139.4
Shelter,2022-01,137.6
All-items excluding food and energy,2022-01,130.9
All-items,2022-02,140.4
Shelter,2022-02,138.7
All-items excluding food and energy,2022-02,131.6
All-items,2022-03,143.0
Shelter,2022-03,140.5
All-items excluding food and energy,2022-03,133.5
All-items,2022-04,144.2
Shelter,2022-04,141.9
All-items excluding food and energy,2022-04,134.8
All-items,2022-05,146.1
Shelter,2022-05,142.6
All-items excluding food and energy,2022-05,136.2
All-items,2022-06,146.5
Shelter,2022-06,143.0
All-items excluding food and energy,2022-06,136.4
All-items,2022-07,147.6
Shelter,2022-07,143.7
All-items excluding food and energy,2022-07,137.7
All-items,2022-08,147.0
Shelter,2022-08,143.7
All-items excluding food and energy,2022-08,137.4
All-items,2022-09,147.8
Shelter,2022-09,144.1
All-items excluding food and energy,2022-09,138.0
All-items,2022-10,148.6
Shelter,2022-10,145.3
All-items excluding food and energy,2022-10,138.5
All-items,2022-11,148.1
Shelter,2022-11,145.9
All-items excluding food and energy,2022-11,138.4
All-items,2022-12,147.1
Shelter,2022-12,146.1
All-items excluding food and energy,2022-12,137.8
All-items,2023-01,148.1
Shelter,2023-01,146.8
All-items excluding food and energy,2023-01,138.2
All-items,2023-02,149.1
Shelter,2023-02,147.7
All-items excluding food and energy,2023-02,139.0
All-items,2023-03,149.7
Shelter,2023-03,148.0
All-items excluding food and energy,2023-03,139.8
All-items,2023-04,150.4
Shelter,2023-04,148.9
All-items excluding food and energy,2023-04,140.5
All-items,2023-05,151.0
Shelter,2023-05,149.7
All-items excluding food and energy,2023-05,140.9
All-items,2023-06,151.6
Shelter,2023-06,149.9
All-items excluding food and energy,2023-06,141.3
All-items,2023-07,152.1
Shelter,2023-07,150.5
All-items excluding food and energy,2023-07,142.0
All-items,2023-08,152.6
Shelter,2023-08,151.1
All-items excluding food and energy,2023-08,142.2
All-items,2023-09,152.7
Shelter,2023-09,152.9
All-items excluding food and energy,2023-09,142.4
All-items,2023-10,152.6
Shelter,2023-10,154.3
All-items excluding food and energy,2023-10,142.8
All-items,2023-11,152.8
Shelter,2023-11,155.9
All-items excluding food and energy,2023-11,143.0
All-items,2023-12,152.1
Shelter,2023-12,155.5
All-items excluding food and energy,2023-12,142.1
All-items,2024-01,152.6
Shelter,2024-01,156.8
All-items excluding food and energy,2024-01,142.8
All-items,2024-02,153.0
Shelter,2024-02,156.9
All-items excluding food and energy,2024-02,143.0
All-items,2024-03,153.8
Shelter,2024-03,158.0
All-items excluding food and energy,2024-03,143.5
All-items,2024-04,154.7
Shelter,2024-04,159.0
All-items excluding food and energy,2024-04,144.2
All-items,2024-05,155.4
Shelter,2024-05,159.3
All-items excluding food and energy,2024-05,145.0
All-items,2024-06,155.5
Shelter,2024-06,160.2
All-items excluding food and energy,2024-06,145.5
All-items,2024-07,156.4
Shelter,2024-07,160.3
All-items excluding food and energy,2024-07,146.5
All-items,2024-08,156.2
Shelter,2024-08,160.8
All-items excluding food and energy,2024-08,146.4
All-items,2024-09,155.8
Shelter,2024-09,161.1
All-items excluding food and energy,2024-09,146.1
All-items,2024-10,156.2
Shelter,2024-10,162.9
All-items excluding food and energy,2024-10,146.4
All-items,2024-11,156.3
Shelter,2024-11,163.0
All-items excluding food and energy,2024-11,146.4
All-items,2024-12,156.1
Shelter,2024-12,163.0
All-items excluding food and energy,2024-12,146.6
All-items,2025-01,156.0
Shelter,2025-01,163.3
All-items excluding food and energy,2025-01,146.1
All-items,2025-02,157.6
Shelter,2025-02,163.7
All-items excluding food and energy,2025-02,147.2
