Month,row dwelling units,Date
Apr-14,171,2014-04
May-14,364,2014-05
Jun-14,126,2014-06
Jul-14,293,2014-07
Aug-14,167,2014-08
Sep-14,263,2014-09
Oct-14,231,2014-10
Nov-14,187,2014-11
Dec-14,143,2014-12
Jan-15,183,2015-01
Feb-15,156,2015-02
Mar-15,192,2015-03
Apr-15,170,2015-04
May-15,295,2015-05
Jun-15,470,2015-06
Jul-15,248,2015-07
Aug-15,259,2015-08
Sep-15,247,2015-09
Oct-15,340,2015-10
Nov-15,286,2015-11
Dec-15,348,2015-12
Jan-16,125,2016-01
Feb-16,319,2016-02
Mar-16,315,2016-03
Apr-16,369,2016-04
May-16,427,2016-05
Jun-16,342,2016-06
Jul-16,230,2016-07
Aug-16,455,2016-08
Sep-16,277,2016-09
Oct-16,425,2016-10
Nov-16,270,2016-11
Dec-16,389,2016-12
Jan-17,82,2017-01
Feb-17,255,2017-02
Mar-17,189,2017-03
Apr-17,135,2017-04
May-17,603,2017-05
Jun-17,295,2017-06
Jul-17,252,2017-07
Aug-17,395,2017-08
Sep-17,183,2017-09
Oct-17,150,2017-10
Nov-17,226,2017-11
Dec-17,158,2017-12
Jan-18,408,2018-01
Feb-18,109,2018-02
Mar-18,196,2018-03
Apr-18,317,2018-04
May-18,711,2018-05
Jun-18,295,2018-06
Jul-18,292,2018-07
Aug-18,390,2018-08
Sep-18,44,2018-09
Oct-18,234,2018-10
Nov-18,315,2018-11
Dec-18,120,2018-12
Jan-19,209,2019-01
Feb-19,92,2019-02
Mar-19,136,2019-03
Apr-19,"1,827",2019-04
May-19,74,2019-05
Jun-19,76,2019-06
Jul-19,378,2019-07
Aug-19,94,2019-08
Sep-19,111,2019-09
Oct-19,59,2019-10
Nov-19,194,2019-11
Dec-19,581,2019-12
Jan-20,630,2020-01
Feb-20,56,2020-02
Mar-20,50,2020-03
Apr-20,73,2020-04
May-20,122,2020-05
Jun-20,341,2020-06
Jul-20,197,2020-07
Aug-20,116,2020-08
Sep-20,197,2020-09
Oct-20,275,2020-10
Nov-20,169,2020-11
Dec-20,386,2020-12
Jan-21,226,2021-01
Feb-21,338,2021-02
Mar-21,854,2021-03
Apr-21,180,2021-04
May-21,165,2021-05
Jun-21,175,2021-06
Jul-21,228,2021-07
Aug-21,258,2021-08
Sep-21,95,2021-09
Oct-21,334,2021-10
Nov-21,97,2021-11
Dec-21,269,2021-12
Jan-22,44,2022-01
Feb-22,209,2022-02
Mar-22,230,2022-03
Apr-22,260,2022-04
May-22,446,2022-05
Jun-22,262,2022-06
Jul-22,113,2022-07
Aug-22,901,2022-08
Sep-22,156,2022-09
Oct-22,94,2022-10
Nov-22,92,2022-11
Dec-22,52,2022-12
Jan-23,79,2023-01
Feb-23,46,2023-02
Mar-23,422,2023-03
Apr-23,106,2023-04
May-23,239,2023-05
Jun-23,426,2023-06
Jul-23,164,2023-07
Aug-23,191,2023-08
Sep-23,639,2023-09
Oct-23,82,2023-10
Nov-23,111,2023-11
Dec-23,57,2023-12
Jan-24,226,2024-01
Feb-24,154,2024-02
Mar-24,156,2024-03
Apr-24,724,2024-04
May-24,87,2024-05
Jun-24,98,2024-06
Jul-24,263,2024-07
Aug-24,198,2024-08
Sep-24,124,2024-09
Oct-24,55,2024-10
Nov-24,53,2024-11
Dec-24,536,2024-12
Jan-25,271,2025-01
