Neighborhood,Beds_Category,Percentage,mean,median,q25,q75,q100
Richmond,4+,2.8854824165915236,2289553.4895833335,1990000.0,1499749.25,2880000.0,9880000.0
Richmond,nan,0.7514277126540427,1033628.0,599000.0,149800.0,1238000.0,5600000.0
Riley Park,0.0,0.06011421701232341,2739450.0,2739450.0,2484675.0,2994225.0,3249000.0
Riley Park,1.0,0.12022843402464682,893450.0,749450.0,696725.0,946175.0,1385000.0
Riley Park,2.0,0.15028554253080853,1159377.6,1129888.0,1099000.0,1188000.0,1480000.0
Riley Park,3.0,0.30057108506161706,1870150.0,1834450.0,1716725.0,1888000.0,3149900.0
Riley Park,4+,0.12022843402464682,2696725.0,2718950.0,2365750.0,3049925.0,3500000.0
Shaughnessy,2.0,0.030057108506161705,1149000.0,1149000.0,1149000.0,1149000.0,1149000.0
Shaughnessy,3.0,0.030057108506161705,1599000.0,1599000.0,1599000.0,1599000.0,1599000.0
Shaughnessy,4+,0.12022843402464682,5464500.0,5920000.0,4429500.0,6955000.0,8380000.0
South Cambie,1.0,0.030057108506161705,699000.0,699000.0,699000.0,699000.0,699000.0
South Cambie,2.0,0.18034265103697023,1440783.3333333333,1537450.0,1092250.0,1866400.0,2074900.0
South Cambie,3.0,0.09017132551848511,2348966.6666666665,2349000.0,2124450.0,2573500.0,2798000.0
South Cambie,4+,0.030057108506161705,3820000.0,3820000.0,3820000.0,3820000.0,3820000.0
Strathcona,1.0,0.30057108506161706,589019.9,609350.0,499825.0,670999.75,769000.0
Strathcona,2.0,0.15028554253080853,1078560.0,828000.0,818800.0,849000.0,2098000.0
Strathcona,3.0,0.09017132551848511,1393933.3333333333,1395000.0,1346500.0,1441900.0,1488800.0
Strathcona,nan,0.06011421701232341,1506000.0,1506000.0,1370500.0,1641500.0,1777000.0
Sunset,1.0,0.12022843402464682,1369750.0,1473000.0,1155500.0,1687250.0,1955000.0
Sunset,2.0,0.030057108506161705,799000.0,799000.0,799000.0,799000.0,799000.0
Sunset,3.0,0.21039975954313195,2537785.5714285714,1899000.0,1694350.0,2498400.0,5980000.0
Sunset,4+,0.24045686804929364,2230000.0,2193000.0,1943250.0,2524000.0,2800000.0
Surrey,0.0,0.36068530207394045,507015.8333333333,373500.0,307250.0,392242.5,1979000.0
Surrey,1.0,3.5166816952209197,749592.6495726496,494900.0,456900.0,574000.0,15800000.0
Surrey,2.0,5.620679290652239,803245.0374331551,646000.0,589788.5,803999.5,4700000.0
Surrey,3.0,4.92936579501052,1176262.0731707318,899000.0,799900.0,1306250.0,4850000.0
Surrey,4+,8.686504358280732,1963621.134948097,1599000.0,1249900.0,1999999.0,23980000.0
Surrey,nan,1.2924556657649533,1504444.0930232557,1259000.0,809500.0,1724499.5,8800000.0
Victoria-Fraserview,1.0,0.030057108506161705,1568000.0,1568000.0,1568000.0,1568000.0,1568000.0
Victoria-Fraserview,2.0,0.030057108506161705,489000.0,489000.0,489000.0,489000.0,489000.0
Victoria-Fraserview,3.0,0.24045686804929364,1899500.0,1709000.0,1514500.0,1923250.0,3988000.0
Victoria-Fraserview,4+,0.3306281935677788,2654345.4545454546,2388000.0,1924500.0,3189000.0,4119800.0
Victoria-Fraserview,nan,0.06011421701232341,1324000.0,1324000.0,796000.0,1852000.0,2380000.0
West End,0.0,0.030057108506161705,529900.0,529900.0,529900.0,529900.0,529900.0
West End,1.0,0.7814848211602045,821196.1153846154,729400.0,495750.0,933500.0,2349999.0
West End,2.0,0.7213706041478809,1278336.9583333333,1021500.0,851575.0,1422250.0,3688000.0
West End,3.0,0.18034265103697023,2351616.6666666665,1948950.0,1570975.0,2387000.0,5334000.0
West End,nan,0.12022843402464682,488700.0,512450.0,224975.0,776175.0,780000.0
West Point Grey,0.0,0.030057108506161705,569000.0,569000.0,569000.0,569000.0,569000.0
West Point Grey,1.0,0.09017132551848511,750202.0,628000.0,628000.0,811303.0,994606.0
West Point Grey,2.0,0.06011421701232341,2239500.0,2239500.0,2009750.0,2469250.0,2699000.0
West Point Grey,3.0,0.06011421701232341,2569000.0,2569000.0,2428500.0,2709500.0,2850000.0
West Point Grey,4+,0.30057108506161706,4507700.0,3715000.0,3059750.0,5525000.0,8880000.0
West Point Grey,nan,0.06011421701232341,1178500.0,1178500.0,618750.0,1738250.0,2298000.0
